cohort_order	assembly_id	accession	tip_id	biological_host_unit	exact_sequence_class	near_duplicate_class	representative_tip	representative_distance	placement_status	frozen_clade_id	clade_evidence	nearest_neighbor_tips	nearest_neighbor_distance	sampling_partition_k16	sampling_medoid_tip	row_sha256
142	asm-v1-daa0b6c0cab38878a41557da	GCF_013391275.1	GCF_013391275.1	exact_assembly_revision:GCF_013391275.1	EX0142	ND0142	GCF_013391275.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002511115.1	0.00275379	L003	GCF_013391275.1	e31788e659edf2ef05d9e1d1225eb8bd2a1273a23f9376bf52fbcd039ddfdbd1
143	asm-v1-c5d18cfe99c6552dfdf066d3	GCF_003076695.1	GCF_003076695.1	exact_assembly_revision:GCF_003076695.1	EX0143	ND0078	GCF_003076715.1	6.6807e-05	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_003076715.1	6.6807e-05	L010	GCF_003317605.1	7ab02f4fcaf6db5c29a132fb95dd101c1117e2851a1e0fffc01809fd4fac0b52
144	asm-v1-9887cf063f106a45194bca4a	GCF_013395855.1	GCF_013395855.1	exact_assembly_revision:GCF_013395855.1	EX0144	ND0143	GCF_013395855.1	0	SUPPORTED_FIXED	HC003	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_015620665.1	0.0021783	L003	GCF_013391275.1	fa201076168a8c5a0db41aab7c85fb8ac07422c24ab2b0afec34d1d068afe9fa
145	asm-v1-1c586f3261fd7828299f36a7	GCF_900096855.1	GCF_900096855.1	exact_assembly_revision:GCF_900096855.1	EX0145	ND0144	GCF_900096855.1	0	SUPPORTED_FIXED	HC006	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_003172455.1	0.000407549	L003	GCF_013391275.1	7e8d2e70bb368b4d43e1f27d106c6881c04553c86ca35469875f68b7b7e8a96f
146	asm-v1-72a3f526c86d42bad9304c43	GCF_003731535.1	GCF_003731535.1	exact_assembly_revision:GCF_003731535.1	EX0146	ND0145	GCF_003731535.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_003731035.1	0.000783157	L003	GCF_013391275.1	99f683b15f27b64621981344e64afe0d823f818747e9df5a3b7d9d7d199dcadc
147	asm-v1-67822918509697f85e599e9f	GCF_016103185.1	GCF_016103185.1	exact_assembly_revision:GCF_016103185.1	EX0147	ND0146	GCF_016103185.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_020051575.1	0.00100213	L003	GCF_013391275.1	9ca0194d5a80ce06c1e6494c13d8cd1a10886927ca5c1be31f89fdb569dc9e4c
148	asm-v1-71bc82a3050b9f6ac3f5ecc3	GCF_009393955.1	GCF_009393955.1	exact_assembly_revision:GCF_009393955.1	EX0148	ND0147	GCF_009393955.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_011404355.1	0.00448982	L003	GCF_013391275.1	337c9c85f8374d08820f336f10f811dc8b6d8bf345dc6522fddf31575ec01263
149	asm-v1-9594569602a4cf1fd69342a0	GCF_002227115.1	GCF_002227115.1	exact_assembly_revision:GCF_002227115.1	EX0149	ND0148	GCF_002227115.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_001749385.1	0.00489854	L003	GCF_013391275.1	564e528ea8da8571fc515b505f95e7cec8612b3b6900e3249dcf9ae8a20cd850
150	asm-v1-0cb8995ce8fda20d7521d4b7	GCF_002542255.1	GCF_002542255.1	exact_assembly_revision:GCF_002542255.1	EX0150	ND0149	GCF_002542255.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_005399985.1	0.00636132	L003	GCF_013391275.1	6fdda2985d40ecac221402c16ffe4325d42583f504086a5fe4f8fb7b0f2b1659
151	asm-v1-4ab65706b153b317807e5275	GCF_004569685.1	GCF_004569685.1	exact_assembly_revision:GCF_004569685.1	EX0151	ND0150	GCF_004569685.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_004567885.1	0.000800667	L010	GCF_003317605.1	27c3bf659811d8a9f8cb0a88887cec645fbfebc3dd311ba84761f74598c0f683
152	asm-v1-b4bb1eb5088087d24887adba	GCF_013395785.1	GCF_013395785.1	exact_assembly_revision:GCF_013395785.1	EX0152	ND0151	GCF_013395785.1	0	SUPPORTED_FIXED	HC003	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_006350385.1	0.0035162	L003	GCF_013391275.1	f76d120fb821690babb898248d277cf58d688857205b826bc77e2e623708a74f
153	asm-v1-9daa521098b910404e99f280	GCF_011404355.1	GCF_011404355.1	exact_assembly_revision:GCF_011404355.1	EX0153	ND0152	GCF_011404355.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_002229155.1	0.00401746	L003	GCF_013391275.1	c2c70cebf5c02eedc7d4f57d9d3ec1ea86f248d8fbade7d5841a097c22020908
154	asm-v1-3aa8868f7fb61285bc0ad479	GCF_002228265.1	GCF_002228265.1	exact_assembly_revision:GCF_002228265.1	EX0154	ND0153	GCF_002228265.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_002228035.1	0.00254125	L003	GCF_013391275.1	85cba522cf413121de5725dbaaac48942e61a752c943567c014e53d5d5ef2b93
155	asm-v1-d7742285fb1f99a81d7682c3	GCF_004523615.1	GCF_004523615.1	exact_assembly_revision:GCF_004523615.1	EX0155	ND0154	GCF_004523615.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_000355215.2	0.00366389	L003	GCF_013391275.1	18ad1d76251ef406c58d8f0ca9c946949317bef7e0b28f071e47d7d0c2e2e1e8
156	asm-v1-6bd4d9bfbee2807c2d28da41	GCF_019051815.1	GCF_019051815.1	exact_assembly_revision:GCF_019051815.1	EX0156	ND0155	GCF_019051815.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_019050495.1	0.000441781	L003	GCF_013391275.1	76ab4b17ff18d05337c1ce3781118bb7549698a2585c77849e2785871b6251e5
157	asm-v1-c047e5f771444de0422a57e5	GCF_016760895.1	GCF_016760895.1	exact_assembly_revision:GCF_016760895.1	EX0157	ND0156	GCF_016760895.1	0	SUPPORTED_FIXED	HC004	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_003570445.1	0.00255237	L012	GCF_000807565.1	a618941c66c019395b118e1c19dde2289eb5f6adfe95b1193b5f6645a0888eb1
158	asm-v1-fc1afbd0594cbb2a1342b694	GCF_900500215.1	GCF_900500215.1	exact_assembly_revision:GCF_900500215.1	EX0158	ND0157	GCF_900500215.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_001059075.1	0.0098385	L010	GCF_003317605.1	814947b841bb804ee92a99e9a7bd7206f37c73501e894deefe8fd749fee9541c
159	asm-v1-d2870626a38c7d19f84e1736	GCF_001894065.1	GCF_001894065.1	exact_assembly_revision:GCF_001894065.1	EX0159	ND0158	GCF_001894065.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_009600715.1	0.00549334	L003	GCF_013391275.1	1c5efcefb7aee4bd1f0dc4a925d5b6f5aac3a5f4fd054fb4d288392dd5b50508
160	asm-v1-671d29f08a35bff2ae4493b4	GCF_005399985.1	GCF_005399985.1	exact_assembly_revision:GCF_005399985.1	EX0160	ND0159	GCF_005399985.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_003357915.1	0.00280734	L003	GCF_013391275.1	61021b9cd0d5e09bb56a2f5336eac94d16b2e0ce1d72c0269580be602ac22b99
161	asm-v1-c20b549839b9eb1c52c15967	GCF_900520305.1	GCF_900520305.1	exact_assembly_revision:GCF_900520305.1	EX0161	ND0160	GCF_900520305.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_000511425.1	0.00107323	L003	GCF_013391275.1	65f3447130c24dc8dff03898114cbcc86833983a4926594e8e6ef3f738040618
162	asm-v1-6b197b73c518c38364bb48a4	GCF_000627985.1	GCF_000627985.1	exact_assembly_revision:GCF_000627985.1	EX0162	ND0161	GCF_000627985.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_000627925.1	0.000121895	L003	GCF_013391275.1	15097740acc58b3a0baa662378341fda533a3d4fdd3024f22e8d6a1a1764f149
163	asm-v1-21d9b2c6c0587a9370f09f45	GCF_002972665.1	GCF_002972665.1	exact_assembly_revision:GCF_002972665.1	EX0163	ND0162	GCF_002972665.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_002972815.1	0.00606744	L012	GCF_000807565.1	960427978f81e186ebc50e5024644c5e7b72ff6770776c63f11df233a6aa330d
164	asm-v1-6ce480372bf3ad66f7e004ad	GCF_013183145.1	GCF_013183145.1	exact_assembly_revision:GCF_013183145.1	EX0164	ND0163	GCF_013183145.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_900481955.1	0.0026948	L013	GCF_900481955.1	384c772408ada0756a88982fe1b65d321037689f8629dd20a035ac6e1c0400da
165	asm-v1-9ec6aa9b3ddb397fa0fc8b45	GCF_000458295.1	GCF_000458295.1	exact_assembly_revision:GCF_000458295.1	EX0165	ND0164	GCF_000458295.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_000457285.1	0.00112166	L010	GCF_003317605.1	1d7cfc2adb21774cd718d68c24a07480b5e7730c7009aff418612079f92cf2e1
166	asm-v1-525e010bb1e5cd7110d7652a	GCF_020216385.1	GCF_020216385.1	exact_assembly_revision:GCF_020216385.1	EX0166	ND0165	GCF_020216385.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_020216345.1	0.000718286	L014	GCF_009880335.1	1d56a580dafbf92bcb7b1a761f94f3abe357d20b9f74fe0940296187d286e2ff
167	asm-v1-85cc85619bca5de60bb0b83b	GCF_002464385.1	GCF_002464385.1	exact_assembly_revision:GCF_002464385.1	EX0167	ND0166	GCF_002464385.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002796445.1	0.00530048	L003	GCF_013391275.1	3b6e441cd801eea42212d161fe36af2e3e712f5c8acdee0aa74da260ee0a1dfd
168	asm-v1-abcce0dad804e0f11d0a6204	GCF_004010615.1	GCF_004010615.1	exact_assembly_revision:GCF_004010615.1	EX0168	ND0167	GCF_004010615.1	0	SUPPORTED_FIXED	HC002	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_005885955.1	0.00036608	L008	GCF_002806795.1	2c63a25ec9104419f906fd8537ec8cc9714dac3d6683dde940af646796e8b3f3
169	asm-v1-d40763a09bac929d9cdaecad	GCF_006233005.1	GCF_006233005.1	exact_assembly_revision:GCF_006233005.1	EX0169	ND0168	GCF_006233005.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_001521415.1	0.00511931	L004	GCF_015163255.1	20f7837186d97be06b0b27701210886b95a3310c510d30bd8134741defeee877
170	asm-v1-b434218142397fecd80f996a	GCF_019104325.1	GCF_019104325.1	exact_assembly_revision:GCF_019104325.1	EX0170	ND0169	GCF_019104325.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_001521415.1	0.00545395	L004	GCF_015163255.1	86704edf1cd655941d9bc7185af2c82f84f194f17c64211728c54c2edce4d9e9
171	asm-v1-da44379cbe9ca54c4d93669c	GCF_000599645.1	GCF_000599645.1	exact_assembly_revision:GCF_000599645.1	EX0171	ND0170	GCF_000599645.1	0	SUPPORTED_FIXED	HC003	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002307525.1	0.00395703	L003	GCF_013391275.1	c31ec94cb2f52e5b36897f02c609455efb581d909015e0334c5560469e295faf
172	asm-v1-53be697b70771fd341069a5f	GCF_003956205.1	GCF_003956205.1	exact_assembly_revision:GCF_003956205.1	EX0172	ND0171	GCF_003956205.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002302315.1	0.000434439	L003	GCF_013391275.1	0cc8a1d9f1405f7fd23a48e6eda8e83167b498bb5510bdff374790031cfe8a50
173	asm-v1-c52edecc41d224878443e024	GCF_014169035.1	GCF_014169035.1	exact_assembly_revision:GCF_014169035.1	EX0173	ND0172	GCF_014169035.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_005397685.1	0.00478758	L004	GCF_015163255.1	f7ac3d299026904e911160ee89020950669e0e23e226d2eadad6ff88a5bc838a
174	asm-v1-c49cd3be967d30963e201306	GCF_900016095.1	GCF_900016095.1	exact_assembly_revision:GCF_900016095.1	EX0174	ND0173	GCF_900016095.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_001606755.1	0.00493355	L003	GCF_013391275.1	3d44501d0bbdb360ac376fac8a3a88b165a4955e54cc113b3afec767247d4d54
175	asm-v1-1010c8c011cee49be636cb73	GCF_900015375.1	GCF_900015375.1	exact_assembly_revision:GCF_900015375.1	EX0175	ND0174	GCF_900015375.1	0	SUPPORTED_FIXED	HC002	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_921380995.1	0.000898569	L008	GCF_002806795.1	c372b720978d64c65c61abfa5549dda55770ba26524e59e5dcda0d427d2af16b
176	asm-v1-e660ce4d8282f147259e8521	GCF_000351505.1	GCF_000351505.1	exact_assembly_revision:GCF_000351505.1	EX0176	ND0175	GCF_000351505.1	0	SUPPORTED_FIXED	HC004	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_000013265.1	0.000564635	L012	GCF_000807565.1	a7d5c3f7f4a5bb0c2a9105b5d4ca910eb33eb7e8e41bef39c891977cfc3119ee
177	asm-v1-318e5142cdd30348e9d7b1d7	GCF_904809765.1	GCF_904809765.1	exact_assembly_revision:GCF_904809765.1	EX0177	ND0176	GCF_904809765.1	0	SUPPORTED_FIXED	HC002	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_000187285.1	0.00408721	L008	GCF_002806795.1	f8de82a0a989cd903a5d6a3312e69518dbbc1933498937e99229bca28684cc0c
178	asm-v1-cbb48126638d0d5dd8c16f2c	GCF_015693755.1	GCF_015693755.1	exact_assembly_revision:GCF_015693755.1	EX0178	ND0177	GCF_015693755.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_016587315.1	0.000938904	L003	GCF_013391275.1	418f7dc8f3b6e6147da959da16e0d8fafbc03eda26734a87d35f85b7cfcca0ea
179	asm-v1-5c4b39abe3b38497b26224d8	GCF_021341955.1	GCF_021341955.1	exact_assembly_revision:GCF_021341955.1	EX0179	ND0178	GCF_021341955.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_003301195.1	0.00143866	L010	GCF_003317605.1	4bbb0db8bbfd1fd2f28980ab03866816b787cd69a9478a63a7b20137380c5eeb
180	asm-v1-e3d94b015c2c07dcc06cab55	GCF_003292875.1	GCF_003292875.1	exact_assembly_revision:GCF_003292875.1	EX0180	ND0179	GCF_003292875.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_011404355.1	0.00452404	L003	GCF_013391275.1	28124624dc1243e12db395f7011838d4ad2866518b8f9c4368c14cd268cf8d39
181	asm-v1-b9f037fe1f1d19e481d31039	GCF_000647475.1	GCF_000647475.1	exact_assembly_revision:GCF_000647475.1	EX0181	ND0180	GCF_000647475.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_910592755.1	0.011984	L014	GCF_009880335.1	7f24eaf21771945a3697ba39e20b035f51f254219530541bd91880e14b3f7db0
182	asm-v1-c2b4dece194a16291f6270a0	GCF_003293265.1	GCF_003293265.1	exact_assembly_revision:GCF_003293265.1	EX0182	ND0181	GCF_003293265.1	0	SUPPORTED_FIXED	HC003	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_016889485.1	0.00462711	L003	GCF_013391275.1	1392e9072d88c57353deacf47353c2aef0595ae960bfc427f336b0bab46f091d
183	asm-v1-93e0f514730fb93e33760692	GCF_002467555.1	GCF_002467555.1	exact_assembly_revision:GCF_002467555.1	EX0183	ND0182	GCF_002467555.1	0	SUPPORTED_FIXED	HC003	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_003293265.1	0.0078218	L003	GCF_013391275.1	25ef3b4871765d2b22468bce74bb5ce3780e71106e36567e1e44f5629bea9289
184	asm-v1-a1676ab352c410050bf8e59b	GCF_904810175.1	GCF_904810175.1	exact_assembly_revision:GCF_904810175.1	EX0184	ND0183	GCF_904810175.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_007558585.1	0.00501018	L003	GCF_013391275.1	4abd0cc2a67d5d4f5a4e2d4fffef5305d420c685421db181e743da2832c5c064
185	asm-v1-251de39be7e1c44540c9e3da	GCF_003367575.1	GCF_003367575.1	exact_assembly_revision:GCF_003367575.1	EX0185	ND0184	GCF_003367575.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_019050495.1	0.00371142	L003	GCF_013391275.1	0db41ff6777ab62fb0e121370bf90f3732e2d2c5209155d1dbeace1b8ed9ef77
186	asm-v1-2e65102e92a297031a2b0cf7	GCF_009880525.1	GCF_009880525.1	exact_assembly_revision:GCF_009880525.1	EX0186	ND0185	GCF_009880525.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_009880335.1	1.42921e-05	L014	GCF_009880335.1	18a5a38a0faf0000fe0f9c22adba4eefd3a7e2dd1fce64e5d989d59e4a5f72cd
187	asm-v1-ea4bee677ba1d5d62e3305c9	GCF_000752535.1	GCF_000752535.1	exact_assembly_revision:GCF_000752535.1	EX0187	ND0186	GCF_000752535.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_000617525.2	0.00217286	L003	GCF_013391275.1	b821ead9d2e4147b2a77802120ca8fe0ae1a7214f094d52e362bacad415ebc1a
188	asm-v1-227c65ff97217d46d0fb82f9	GCF_011045875.1	GCF_011045875.1	exact_assembly_revision:GCF_011045875.1	EX0188	ND0187	GCF_011045875.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_014904535.2	0.00629942	L003	GCF_013391275.1	4ba9e802835834d39d8b42223f94c44dbb04fa1b6d98e3e7900a94e5351ad943
189	asm-v1-0aabc5465be171c5c89e39af	GCF_000442065.2	GCF_000442065.2	exact_assembly_revision:GCF_000442065.2	EX0189	ND0188	GCF_000442065.2	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_014117345.2	0.000119496	L012	GCF_000807565.1	486a8df1e36302dc05530f7188922eb2a2d5afc75caf3539d6a91e0ffb7ece14
190	asm-v1-86c6da29c0e6a3cf2268ff28	GCF_003686895.1	GCF_003686895.1	exact_assembly_revision:GCF_003686895.1	EX0190	ND0189	GCF_003686895.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_001402805.1	0.00251903	L003	GCF_013391275.1	b3bc7f9ec3d27149e4bd0b69431345f896335515c3e66d171f2d4cdb826d4f1f
191	asm-v1-11b8c4a57bf5d44058fd6440	GCF_010820865.1	GCF_010820865.1	exact_assembly_revision:GCF_010820865.1	EX0191	ND0190	GCF_010820865.1	0	SUPPORTED_FIXED	HC002	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_001558995.2	0.000616515	L008	GCF_002806795.1	4b87b58c734cd54b7c6c2e18b9b19fcbe970d7889540ef747c7cf0f51cadab7c
192	asm-v1-48824786b3fbe77253cb7c00	GCF_003322845.1	GCF_003322845.1	exact_assembly_revision:GCF_003322845.1	EX0192	ND0191	GCF_003322845.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_900480335.1	0.0027876	L003	GCF_013391275.1	59341031f90a08ae96dec8040d9c3ec55b1b3cde02b9aa0444932b2214a202da
193	asm-v1-ae7305ab4241714005ede296	GCF_900499545.1	GCF_900499545.1	exact_assembly_revision:GCF_900499545.1	EX0193	ND0192	GCF_900499545.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_020406195.1	0.00232309	L010	GCF_003317605.1	d15117e6c926cb968167d5e09570f5b413da29ab3ddf73b21ec55300ddddea71
194	asm-v1-acfac73f6f18d0a18daba2e3	GCF_003328195.1	GCF_003328195.1	exact_assembly_revision:GCF_003328195.1	EX0194	ND0193	GCF_003328195.1	0	SUPPORTED_FIXED	HC003	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_000019385.1	0.00682159	L003	GCF_013391275.1	c0600345358471cb29671847a08e28c987aff0aec5b96d28d571b2695ccfb3fd
195	asm-v1-932a752d0845586a1e984fd9	GCF_002770195.1	GCF_002770195.1	exact_assembly_revision:GCF_002770195.1	EX0195	ND0194	GCF_002770195.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002458155.1	0.0006388	L003	GCF_013391275.1	b9a0b0cf3fe8d14d745e62a7cec3d8e2b232095a62521ef12f1c9736089a9487
196	asm-v1-9542c6dd974a38a34bb4d4e6	GCF_002016465.1	GCF_002016465.1	exact_assembly_revision:GCF_002016465.1	EX0196	ND0195	GCF_002016465.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_020732085.1	0.00953169	L003	GCF_013391275.1	9aa46d4b85a75b93c1e05ba0c3c8d8492e2aab183f23d8fa9b56872779cc9ba6
197	asm-v1-a99c50eaabc68b451ea0e9e0	GCF_002941745.1	GCF_002941745.1	exact_assembly_revision:GCF_002941745.1	EX0197	ND0196	GCF_002941745.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_009820835.1,GCF_019879155.1	0.0107017	L003	GCF_013391275.1	a682655f2c255415c46e676819e078ed7d7a8a049122e5be14e19d55fe5c3432
198	asm-v1-2b95a7e9b3579b1fd79292d7	GCF_002190145.1	GCF_002190145.1	exact_assembly_revision:GCF_002190145.1	EX0198	ND0197	GCF_002190145.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_002225785.1	0.00678632	L003	GCF_013391275.1	fe2ffde74234ca3bb2e7cb47571b4e88d82b21ff3cad9f3c9b5cf7fb041f5821
199	asm-v1-b840ad14ed80de1c0eb43e49	GCF_003301195.1	GCF_003301195.1	exact_assembly_revision:GCF_003301195.1	EX0199	ND0198	GCF_003301195.1	0	AMBIGUOUS_UNROOTED_BACKBONE_OR_UNSUPPORTED		ALTERNATIVE_PARTITIONS_RETAINED_NO_FORCED_CLADE	GCF_006241135.1	0.00118304	L010	GCF_003317605.1	e98f824cf1f8c56a9d7f7457146c751c7296739b8f5a6305ae1c0ebc5879a562
200	asm-v1-e7da4bfdf25794a3ad901670	GCF_017163155.1	GCF_017163155.1	exact_assembly_revision:GCF_017163155.1	EX0200	ND0199	GCF_017163155.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_001617075.1	0.00654477	L003	GCF_013391275.1	7344a43ba3e00e366a58e5a84b8419033af052df346a5aadad535cf7735fc3a5
201	asm-v1-c43684c9dbdb5a5e26cba308	GCF_003145395.1	GCF_003145395.1	exact_assembly_revision:GCF_003145395.1	EX0201	ND0200	GCF_003145395.1	0	SUPPORTED_FIXED	HC001	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_006237245.1	0.0130686	L003	GCF_013391275.1	3135d919dd2a0ce1c442002165598302e162a104473c95e724a682ba971dba6f
202	asm-v1-34d0671f7c40e156a9d1f1ca	GCF_003300725.1	GCF_003300725.1	exact_assembly_revision:GCF_003300725.1	EX0202	ND0201	GCF_003300725.1	0	SUPPORTED_FIXED	HC004	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_005382185.1	0.00195939	L012	GCF_000807565.1	bd535be4193b13ae68fd5392c00c0c677d313102fc9e70b9c4d4327c593a4317
203	asm-v1-b9d064afc50c71795e451717	GCF_001650275.1	GCF_001650275.1	exact_assembly_revision:GCF_001650275.1	EX0203	ND0202	GCF_001650275.1	0	SUPPORTED_FIXED	HC002	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_002286545.1	0.00223825	L008	GCF_002806795.1	aeb3faa893ba64fa59b02d1cd10f171789f9f54741c608474a908173b6f0a60b
204	asm-v1-2ade9e30895b6899f2395a42	GCF_014494815.1	GCF_014494815.1	exact_assembly_revision:GCF_014494815.1	EX0204	ND0203	GCF_014494815.1	0	SUPPORTED_FIXED	HC003	MASH_PARAMETER_AND_SEED_STABLE_SPLIT	GCF_014862275.1	0.003239	L003	GCF_013391275.1	3abf59b318a978e8a2fc6cef7297933be6ff6558f55d93e7af53b15de394a80c
