cohort_order	accession	tip_id	eligible	contig_count	total_bases	n50	ambiguous_bases	content_sha256	sequence_only_sha256	bgzf_sha256	pansn_name_roundtrip	view_path	row_sha256
276	GCF_009832985.1	GCF_009832985.1	PASS	1	4530564	4530564	0	309bf3d064d569a32d7bf85b26019ab438bba6ba9e5ae8342dc44bfb31795545	8e232a0782df9ac7a1905410d18749dc195d1aeb4148b6ceabb0cf0f12d7d5fb	5f0fe599960b862d5f1ce7c4cf1f9b24a6ca9a96b5dcb07b40c2a5bf811f287e	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_009832985.1.fa	496e617a30e09760fc93ed7400c61122bbe2f48493e99066972edf0223f877e1
277	GCF_000355295.1	GCF_000355295.1	PASS	51	5483164	522199	3	470ed4bbae996e45cd0d6e99bb517db53a47798131a7cdaa0ec2e3a14a68ea41	c440f57d6bf6c4cfccba4f1085ba9670236e19ce07ce1116ae7310cfe01ef687	b934d6124b9118f693554d98c784dbaf675a3d2105cdac67f8436f90e5d331ff	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_000355295.1.fa	cfd5552931a91d99d44604a621f3a7e90dd0fc7afa85da355a08e4034987f283
278	GCF_916160245.1	GCF_916160245.1	PASS	151	5182364	141585	0	4f59a7ecbb2cfc5da878abda604df74eaeb91c625602c346160a90af302bc0d3	4309b2d8afa17ff0a317758d7f483aa0c5af5e1c3f489e494de06f363d92786e	f4c1986131fe6eae4d310c164ba0b01abb4cfab0f20d393139efaf2642a2a380	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_916160245.1.fa	634b731fa8c1d0e712eecd7b2bbdbcd7f59db6c824112c98089c4cb19d230de0
279	GCF_003360075.1	GCF_003360075.1	PASS	299	5371484	90586	0	513cbb44f9a3d107ac4fdacc7b8199c91c146d9e8f0bfadbd51a0cb60308414b	3544f44cc44d3488ec446a38756643a060c9d2d134f633afae360e8ff2dcb7ba	524878e3e2aa479944a9c9b367994ec079494ea679dfe3dce10709c3873522a4	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_003360075.1.fa	c0d63897ced8604876ba59e97d36ff32256464634b85878523aa4a7c8946e3b8
280	GCF_000358855.2	GCF_000358855.2	PASS	135	5205842	122795	0	5a432490e205f046269d2252e87c2e19c510d317a27370d323071d15dc6b3148	a7db8f102422c11b8dd0983a464bfc20158274e532007ba18fd77588195963cb	acc249e98f037ce1c183d14ad8834fc9ca7fe5f50b56c9e61e2a29fef260dc4e	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_000358855.2.fa	303a05af888ec62dc1f7dc05864b9e2407babbff377fdcf1308d890234718d40
281	GCF_002535305.1	GCF_002535305.1	PASS	109	5026466	183757	0	f9f1f4f22da04a1e4529b5768af5f44f1be10d36abc74058ea54133b8a5befed	1e524e9f8ffb37790928f59145d7dfd3593528237a8c981bac7075f318025e97	7ec39d38b730c59ed95a6ab917974146fd179608e1c1516b5410681bf0dd64d9	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002535305.1.fa	ef2168cc037dedbd3c7d972aec201725b64434d9cf61e74239463f059c51798b
282	GCF_000408345.1	GCF_000408345.1	PASS	10	5029164	3131514	78451	d8073d22e026a5c03f72b293a82bcb03dd1f72f04c2c5ea8b4add2f763c40a52	63c9dc5adf222366d967f45454c9ec6ca8aace74d5bb8cb825841ff318f70107	5f72d95511c8abd2ff1747efc42ecf353ed504d575dfdc3674936c7c6b33dfbc	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_000408345.1.fa	50128c7ffa9fe6ff9941abd4a3fc9a5389250c5976ed6de140882ab271dbc09e
283	GCF_001893525.1	GCF_001893525.1	PASS	169	5326019	120002	949	05716701f2bc85ef22ba65b1d2b91c9cccd009379b9aaf5c676beb0c8cafc078	52742b9f95751cb50f2f967624920a335a54ee2cc5e62481495147f5983fb68f	e9a659198a69672066ff5040c943b1bea0b7cff50fb6f64aa0a1d1d503ae71c7	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_001893525.1.fa	cbe58763d4f9872dbe6fca98c9465ba3e898fb799a48cc210714ab6764e895ad
284	GCF_002231955.1	GCF_002231955.1	PASS	153	4955013	112057	0	cee0e657761ab0231dfe90cb82e307d9b66110180b814f98c18a47a2fe7e0593	47f85fe77db78a4c266177a20151389cfaafcaa0ed3aa4a2d361dea1c1aa3cf5	ddec275f0ef8539f1d8b0fb52ea3d9633e262807eb1d60ee611fc6e2261f64b6	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002231955.1.fa	e4dd847eae45666b74ae33cddfa48b71ab1e72243743f78b20131e27c61ebfd2
285	GCF_014529205.1	GCF_014529205.1	PASS	139	4826826	142816	779	26cc558ec508de9e846b0c860b5994103dcc8ef1cfdf30072b077cd5947432b1	30f1e78689a01a69e956d343534bd616edf17a1321036656f2a662a72cf5f6c2	b89cf7a36775ec15d0860de448a6e76505fe5598220bcf88ef5a1da53d5d24b0	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_014529205.1.fa	5199d69919f830486d547c878907357f88702837748892d26d64cf711c3b2e6e
286	GCF_003028135.1	GCF_003028135.1	PASS	386	5360293	33648	0	cbf016b13c40ad3e6d1bd3acaa8644c6613f89b4d884a29274b23a2fbd6ec020	d03cdced5781ed1f334d04c07d60d022956ceab486384a0d599feb406844a786	26118f01a1202508921275483eb46624d0b2caf2e9805259169142f6f4014210	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_003028135.1.fa	0242cb5e1b19acdc9f31671d7bacf4c0e674a271024f1217ac8f0435846f8a97
287	GCF_900479575.1	GCF_900479575.1	PASS	143	5079215	108568	242	a64875b9194426cbfb55f70151fa96e5a5f5efa5b9639c98fcdfa09476d2af03	4bfeccbae3a9898e5e394fbc9b220667328b3e7e0ec2ff7bf052ed36afa8e788	108cf269c9714d3805f3139d1f9596d0be2fc14f589f142cfcfdaced4496974a	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_900479575.1.fa	d7720c46e02721f574167bdedcab442648c932d9b2b369afdc962f64ee4e9dd6
288	GCF_005388405.1	GCF_005388405.1	PASS	106	4929418	145208	3689	06dc5a5e3ee9fa79a603362dd6034fc07ae6e6329467bfbf8384184761917364	e1f5f9e973365cbdc09f99ee95702d65a58c9c023b8899ef516244d98fcb15ec	6a87ed8ae24b7951a0d28dfe5eab56212ad36fa2bf261629f965ec13a9b39e7b	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_005388405.1.fa	892b0c940f5d371e47a23ed79a7e4549df8357a0c360d9ba83047a0a51c5ab03
289	GCF_009822305.1	GCF_009822305.1	PASS	127	4876906	149915	430	052bf351fe5959133bba35acef11b5b6605abb5ff9448b1785228c2d045e9cd4	891f2597ffce97678196ea3f19b86b2a64756ed993c62a44772164f5015188da	a724f6c6b5eb97ac3f34849e81c6ca8e882aef5c63ae630a611002616848799d	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_009822305.1.fa	f42ac0e276f6c72b736d87d382972d21809c85c11010cf23c6e36e4f6f1d194b
290	GCF_020668725.1	GCF_020668725.1	PASS	109	4568231	131448	0	940b6d58b11779b344f4669452e4c75460db0878a3b78186de0bba6f2fe89bcd	228f7345687d7a4e4dc07e897dbc77c726bb24475b439b6e659e385aa581bf41	7c5d277ce9139d4c90ca0a4b5e17265f6f46869505779dad521070e111bfdfff	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_020668725.1.fa	cb29a4daa6c4f734dd7c7a42b5ef7e0097a988479badd1ffcd3d2e537be9a0a4
291	GCF_002764815.1	GCF_002764815.1	PASS	333	5448490	115043	3111	438518d4ea29a460bd5b9388d844498386ec2ec0073adb30481a23a9b40406b4	b38339e365040cb5adc5fb3723e14697ebee793589fdae85a1bb636d9e9a4f7a	8ffd9e73a5cc5ae9ffbda9aee579e5243b3ea2e7575ab04701b071f210a66e59	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002764815.1.fa	2aec21f9bbe63bb4ef06ce344c9a3c5284c333d2e40405b6cd7c5b6d478f0cc3
292	GCF_006230075.1	GCF_006230075.1	PASS	126	4947317	205842	1813	125430323518a227084ec066a6be224998cb3d4239e383f50d543d9f1cb180dd	ed886e1c024c3e9644dd18cdc91ec2a2fc330cefef343968213f576a0e2fd0a6	1ee85071813413027771996c005eab558e3ce0176f937a2484336b3b813197b6	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_006230075.1.fa	2cb038405334b06b37841f3142c43a3ecb3b302af5d3901c7d8e882921175cbc
293	GCF_009793765.1	GCF_009793765.1	PASS	83	4784992	186105	0	537dbf6232727fc1466bcf22163f0cd39450e37f27fd76f545f2e17fc6f634d0	2469838cfd5b928a2533e4ce97e740708ea30c24a7d99d37fe2ec566767d9cbd	4299bdfa995f173bbe1a83288922c534e34fe27a3c48464a05edfb5a8194fd58	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_009793765.1.fa	4ded0f1629d628bb3d814a5e94060e4ec4844b6d28a350d947b6e7bc51650bc0
294	GCF_003302995.1	GCF_003302995.1	PASS	115	5205940	286186	0	c1e8d58b108c8c0d7451f7e001fba1f5b603fbeb6d916fa50978a4bb3de90009	88f68757434aa04e0c541f2ccb2ca793adac8eaafbf9916bffd10d06857f477a	88a27b564146a83695eb9369d998f8c9e2cf86bbbdd741c59a9367598716ecdd	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_003302995.1.fa	47f3d75818158978418c20319af812c076bf839b1e50ff63b23220b3f850c58d
295	GCF_002056065.1	GCF_002056065.1	PASS	3	4734219	4595238	0	4e96bdd61258047695125b8a5917a030d9bef4d8e090c62c20e0b00cdb205a6b	4948c4532f241e5de7b349c12add842e4cf8cbcad98c617a23fffba8f430a399	afc053b1d23a0f56b4d08b7cec6cb9169f3d668dfb69867078afab1fb5e23d2e	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002056065.1.fa	d34bbfb18a84594dd402b6d4f5dc0aceb72cb17c778f68988d8ae82f4c24428c
296	GCF_900195745.1	GCF_900195745.1	PASS	200	4719521	58414	260	8ee32b3bf06577cd9b91ed907da7804e602b9bd7accf1cf86effc9301d71cbc4	a311225d4538ecedee1c4c118445f81ee3b925144edd77a2bf12d998dd875c79	5c3d4a233342b853edfbda9b627c607c54df0fc578d9db93c11c81cd788263ed	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_900195745.1.fa	14c30417f038dc2215d713b96522995891c9bb012069b6a46da78f978f0b01fd
297	GCF_001571915.1	GCF_001571915.1	PASS	194	5230645	111879	0	4d1a14db8f8546743f7af2435f0002919e1f63f8b78a4b76367e35390f5592f4	988eff5b6198f118aeb791fb55c2f2bfc1069eb70d32ba2db7ea3b2be32414a0	d93d4162dfbbc36e4ac4b2f753e70410a0a9a72707076954ea960f20eed5b198	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_001571915.1.fa	e53f6f02135c785415e687de135d214aae54f4c217fc70c0e2ff112ecdfa2af7
298	GCF_002165115.2	GCF_002165115.2	PASS	7	5052208	4908742	0	213801cd34039dad63a4bfee57635bb7371703177ba3a50c4939a4a81a503020	50f7eaadce05d2e74aa94bbdbab3b78d3e34357d09ac90384f166ba938a64f3f	d700a3bd9675e627cd50b684772187c5f87edee9cdcb22733e7dd0846b7771d6	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002165115.2.fa	19065423a90442c66cf52a99d8db0afb82b5da64aedc43e62dc39e201c00f451
299	GCF_016905495.1	GCF_016905495.1	PASS	292	5186569	54883	0	d64025fb8d6d49cd897b1837e652a2132798f5d38d3f2a826edb8abfc9111c63	49db27459136354b78cd87073a910fb7c78b7fabbadd1e9a7fcef99391bd19b2	0c5ea3d40a0ebf9fc028ccf5840c7ccd90679fc181099f870fb520be302580aa	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_016905495.1.fa	8859080464b212ae46e39dd4d848a47e1d1f1280974bc4eebd60cf9a389001ba
300	GCF_002194715.1	GCF_002194715.1	PASS	316	5418601	160722	0	86e7bd638e4653c2761dd7259d82cbfc98fe34e8c4c08b638ee7407a67ddc889	25a617643473d57c819d250ea191e4c08f10468279e57fcf4a48e197bf10f350	5582303bb0d2c055b5a783f1ff26b5549a0fbf6946484b65b3dc01dc1016833f	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002194715.1.fa	06f90175df67dc4fd17f114a3a4f273506ffcfeda42f9163b597cedc4af7160e
301	GCF_002002235.1	GCF_002002235.1	PASS	214	4723664	74924	0	7c492e91c90da599179a6469e4855263eaa554e31bc7e39e97008eeb73ec624c	0aa355af4959a4af457924fa0f969f08f2f4bbf8335fc82598e5136259c60ffa	8302d12841e0d13ad2e2dbc7b337da39a94a677f4ff638f71e4cf30ddf325a08	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002002235.1.fa	7b3dd0de965dda0e7d9bf7fc9821baebae96bdf45b8074c2bc8abb6f4bed55c5
302	GCF_001402805.1	GCF_001402805.1	PASS	91	4770117	182685	41	81ff03210f4697136db7047b788dacb47da352bc8193df9d4504f762275baead	78defa6edc8e06a02287c9d231e739e5a9dd6abd341ab4034d6aff06a10615f8	c13468f4a6e68a6f01a5501772ed66daf9700557f226033d4b4ba80fbc1f0f33	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_001402805.1.fa	117568312e81c9e16b1ecb386d83ee7ba115e0d5b97516d57ec316095dd1325c
303	GCF_000703265.1	GCF_000703265.1	PASS	3	5028239	4912400	0	765bb048bbc9d5e425222d4b8f488d11ef76b225a763cf2a7ed78ad7b9b068bf	462f089c6daaecdc1f00336a39b88eda39aca46c63c340cc6b5eaaa1f12ee2d1	6e3b4af2db2f6ad640bf97a0718b2b65c556a6fda859f2a8f4aae634628de97d	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_000703265.1.fa	72f4a02a0c3737407007afeeee736816e6238af846910531782923063e910d44
304	GCF_009910465.1	GCF_009910465.1	PASS	78	4876494	287231	0	0b990ededfbd6b5fd8ef25024942baa35a85be61f24818a24b2bac70b7bd893f	e0241f8250c5a82ee90e17fafbf6942d44efabd57c3c495036bc8757e258f860	2827e371ac75815e460625d37a522d9ce020caabaf57b2442d19923edcf04e86	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_009910465.1.fa	10de501f410745fdce676467eb306143bd725f7de18d4946bdaf274c1a83ad77
305	GCF_004661495.1	GCF_004661495.1	PASS	100	5047935	155314	0	af0d065223a696ecb1ce93acb703c44796cd3ae47bbed166158080c832766e28	4c0ae5d31c482a52231507e0ea27bb660d8b0a19c52228057dbf0ae8acfd9033	2ae9b2f0015b898a152df76b882309e7bb11620b575d9d1d2ee8cee6289e1363	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_004661495.1.fa	9009e2be8dae706adc742cd3e33093a86b02cb441bdc4ff3a9113aa87fb457e1
306	GCF_002233475.1	GCF_002233475.1	PASS	93	4783350	158569	0	1858c4a59834f101ebce5708798a74a44efb26db4cfef7a0204119fb9a9f9158	7b0dd6698818e4c9b43bbfeb7aaad4ccfa2085a6b28419106ecc58bcc4a7d056	6f23770b7e20127af9d0c2e121d87b9a4de637d4b2ed8c5802fb4cba5898d484	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002233475.1.fa	2c2d2635277d9c4bbd0f1eb4c57826ffecc401a1662432e71fd73e669be71328
307	GCF_021342755.1	GCF_021342755.1	PASS	90	4966245	170831	223	c9bf6879cc68c529f86bf1107e459c66edef6dc324b099bc6a517953deac9f49	78f187310cc16b52689853bf10538cc91a7b394c2df07c976de1858897c54775	cc76dc82bf6ba7ef14a556bc0547b1e47ca039599d5a576776dda15c0026a0f2	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_021342755.1.fa	d2d1bbc4588c3650bed0c712e0831a84ab7424186a0322f6bbd7d0435dbd43d1
308	GCF_003301875.1	GCF_003301875.1	PASS	220	5020745	86151	444	6bf8a65b23cb2e611171c3086b90e6327eb2cd9f9245b4e46fac3f8f946afa61	ab50bca356c00882a623b086792cbba3867054c38be814b3c7c246227d076c35	b79f8985a52dabaeab6fdb35793ca8f555ca8be9d125390bf6959bb1b5759495	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_003301875.1.fa	c465586e9da115474752844204071486363b47e4f1ea7a3f6f4e877b75aedd3a
309	GCF_003318595.1	GCF_003318595.1	PASS	324	5265535	121675	631	262244721dcdd5f7556ec044331fdfe93b2bd4c511f19f20a45b1b21e1616f80	dd7436af9b7e5f11698f27480b88a104546579ef87dec55e38d72d099904bdab	a4594aefb1d38d5a84d0a6400203ad8c55c26b8d8da2ccdca85b148fc457bb54	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_003318595.1.fa	4e2e6afc9acdd10975653a23c8018d276c2ec916c5251d52994a399698d65302
310	GCF_008388475.1	GCF_008388475.1	PASS	151	5096262	361951	307	697d201bd4ad2deb54612b3dc4d23da1d4dbd5d83fa2615bd468e0d43c5a6a2f	f1f9ad15fe5a5e278f3a76a4087b0268eb2ecff074b259e2bed9447112a38c85	a20d36296acc2949473cba3d906190389e4ffb4a5c9b940904dd2424444079b5	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_008388475.1.fa	63d2cb666f45e754fd55726f15f853545a0a7899643f0d46fe3c67350bd2a937
311	GCF_003302895.1	GCF_003302895.1	PASS	227	5025065	130949	819	6829670abfb04a9222e722267bfdaf909be0ea3ecc515e7c6e5b61fab3c6c651	63778a787f162fe2869d7d60238855760f471f09ef735e273fa2f6661a086d86	28182ae5c2e543fb5a3d44e90b747807be9c003793ef20e745331a826e882209	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_003302895.1.fa	65dacfe9e925ded446b503a79ff4a3ef5b4e3123a694e8fcbe449dcb701a9013
312	GCF_001942085.1	GCF_001942085.1	PASS	262	5092298	91773	0	2e8b1230e6061dbf8a377a36dd7fc8aad7fe96cd842c7aa62ca6781731b30d1d	d9250ce8ddf948626a273daf2e1c66d0c690033ba8a85a1d0c54f44347dc8ee9	a40f318d01e205d5e11ef7b13d500896d81aa9a408d972e752b330aee2ae5b6f	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_001942085.1.fa	0f9fa4c27d0ccc9c5c12b9a9b9a83af62e4f4730929243eed89e24272486cc29
313	GCF_014862275.1	GCF_014862275.1	PASS	282	4947281	56138	3993	e8b0078f08e592b44fe509751d7281b7d27379631186a2d43c407c9e8db9867a	4375f293f31317c95dd366904160c62a736733ca01eb35bb099a1c2a1431b5cf	0bd072cebb0f0b5b52e55cc11443c232eb1c2fc333db3aa2994fcb708e1d61d9	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_014862275.1.fa	2c573cd87ea5940557ffdc1bfb54bcc2a1610aff61e109bb58e3706d1f21dd62
314	GCF_017594325.1	GCF_017594325.1	PASS	124	5388334	189492	0	e8a09e0bc35b08c760d1f9b3e10de1f79aa26f461dbeb2b2c1111a12c4f19314	d3a343138be2bdbbbb74bd8be3b4be6c972aedaa0032fdd0fad53bbf80775f19	bd0b8a04faa17170b4b8b446736086b0cd72305dc06683715e8f8f6ed3b3629a	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_017594325.1.fa	82a1b21beb614aee319c4801ff3c762187eeb413410515a2a44f976b0edab42d
315	GCF_014117345.2	GCF_014117345.2	PASS	3	5046283	4944462	0	e95495295efeceb74aa1f608435dafa54e905efd8b73301bd9fb4ad09cc6c725	0cf8e93860862d37ff9f54d0918b54305825a6b8d110ad234dc7b7d7d0c8be3b	96965a045f5283cf9357745b3df6dd486f2dbc22c2e84839a59c43fb8d2b9a34	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_014117345.2.fa	ea810f24d6d2e0f2944ac491d249786b631bda84fce75c661808759303824612
316	GCF_003328095.1	GCF_003328095.1	PASS	81	5038307	175835	0	6a5806590f6f9a842219f9cac2d5768cef7bfc5d30f427770ac0ef0be31cb2f4	f89ec2ed21e3c2fa977fed4695d7c6a4cd39f59da2eb7b773f8ec97df8384e16	31be4eafc6853b4a2d8c054e67a955b19830afe02cee28fe591ce6f3f123e3f7	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_003328095.1.fa	784027b166b6e8a86823bfe40145447909417a5979f387bb78b04a84bd8208f2
317	GCF_017165455.1	GCF_017165455.1	PASS	4	5633885	5502331	0	5603a285f58a1a6a11f2a05fcb7ad6f4cec8bb27b9140234ab184969bf39ed91	c9b16fb5f516b4d394ffaec211c9f905e74b981f4d59d28ad72ddee8cd2ed06a	1818ebcb0227ee6d56efa74e536ae2a2a6af485a63cc6b021722f01995e864e8	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_017165455.1.fa	c61f70cdfcc9a966108d670a46b8629856c682fb5654c19cbfbf604446e0c62f
318	GCF_900499255.1	GCF_900499255.1	PASS	311	5398161	83314	0	fd9605310102173af3ca2dd7d199fb2f9af8a5a206410ff485159374a833f21c	8877676a5eb9ad08a53c434f639efed7e280d628dbbbf567783d4d0a06f0fb9b	69a5301f553f65d7ae75f161e8d0f43b5e03b009212b8a9b122b4e16f58150ea	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_900499255.1.fa	c42fc84faa52c7a25159650fa3ee8aeec15a1b842db7dc8b26093db1dd3c5018
319	GCF_003469495.1	GCF_003469495.1	PASS	139	4591896	85038	1079	4a13c53e1caea250eb6d83a6608c12bc9167c135c7d8ca9f9aec3e0676053eef	b401fb1aa94151333312498fc337a6e5c49915e33ac4e9804290edbccc90ab76	d0d87418799d6e90a9adbf89a8ee841676ce946c4dbbad142d705b2e64f037c3	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_003469495.1.fa	4017ba143a809c9c85801b85a232c4ee9043a23e8599b26f8e07260f3cfd6e9a
320	GCF_017595435.1	GCF_017595435.1	PASS	353	5445693	39888	0	6bc74bb5b6a8ece5e4acdfe1507e8e5f5d5c90e2e6cf8f2e4f2f57e0621d9073	602203682a51ee2af4c7f55733818b56cf100c2a8cdda193e2765a180829b463	a46878cee75c654606785b018b39f1786b7738b430c7b6b56a05dd83a3bf1139	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_017595435.1.fa	bff09a92e8f502b37b3e093239d0e7f3667444c1875f8760c377d20e779ac3c3
321	GCF_001911755.1	GCF_001911755.1	PASS	134	4988884	121380	0	a211edfd5c6f8a4db5ff387fff80953c2a67104755ffc935bd117cbadd3ed23e	6bf72fe63bdba741bca3da9f017bfea37717c5c0a30886fc4531b7ced978ba68	467942b393f90168a95afa12cd91f1772f3fbdf387481d72c555b9cb406fdca9	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_001911755.1.fa	89bab8606134e665f179b3dda268d77234835a1cc0f8da7ae1ccf5986ce865ad
322	GCF_009600715.1	GCF_009600715.1	PASS	428	5376499	96577	0	ac1ae745d36a3faba49c5d93818bd87dd4687b1f9e3ee69cfa2ebf0759a45572	b47f4e47ef693de4b5938e519ff86106fc9f74a3d4091e3021747a3d62a2bdf0	b68b0e290aa2a6dcd187c8ca1afa995fec9e32d4daf3ae90e90309d00092fcf0	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_009600715.1.fa	0ab427f71f16feda6689aee6355e9ef258cf18dd493222ae0f3f3916a85a761e
323	GCF_002228035.1	GCF_002228035.1	PASS	392	5244276	45419	0	85ec85d3222043fa040f3350f9ab91e472245eafdd19606ecf30f9a72368ca5d	bcb660e7ab6257ef15997786a58f016c94797834c5787cd5faeacf3ee1f0999a	47926258c2b178ef8289767bc8965e51e01a85e516eba5fbbacfbe3944bee503	PASS	/mnt/nvme3n1/erikg/phind-genome-work/ecoli26k/v1/run-host-structure-1000/host-structure-1000-v1-run/views/GCF_002228035.1.fa	94f40c616879925d91d3ee0d0ad30e9bb7dea9b3bfbe39a2f58a953c3e640645
