clade_id	n_members	status	ancestral	length	n_source_genomes	host_clades	species
0_0207	13	ml	yes	18062	13	host_clade_0054,host_clade_0092	Mycobacterium heckeshornense,Mycobacterium xenopi
0_0208	13	ml	yes	12433	13	host_clade_0003	Mycobacterium avium
0_0209	1	singleton	n/a	12613	1	host_clade_0005	Mycobacterium intracellulare
0_0210	2	ml	yes	110059	2	host_clade_0333,host_clade_0574	Mycobacterium sp. SMC-4,Mycolicibacterium vaccae
0_0211	12	ml	yes	69587	12	host_clade_0001,host_clade_0285	Mycobacteroides abscessus,Mycolicibacterium sp. TY66,Mycolicibacterium sp. TY81
0_0212	10	ml	yes	67376	9	host_clade_0006	Mycolicibacterium fortuitum,Mycolicibacterium sp.
0_0213	1	singleton	n/a	10330	1	host_clade_0002	Mycobacterium marinum
0_0214	9	ml	yes	27432	9	host_clade_0007,host_clade_0033,host_clade_0074,host_clade_0218,host_clade_0295	Mycobacterium kansasii,Mycobacterium kyorinense,Mycobacterium szulgai
0_0215	12	ml	yes	100825	12	host_clade_0003,host_clade_0036,host_clade_0042,host_clade_0071,host_clade_0087,host_clade_0185,host_clade_0396,host_clade_0629,host_clade_0721,host_clade_0772	Mycobacterium avium,Mycobacterium colombiense,Mycobacterium sp. MS1601
0_0216	8	ml	yes	78736	8	host_clade_0003,host_clade_0004,host_clade_0017,host_clade_0087,host_clade_0364	Mycobacterium avium,Mycobacterium kansasii,Mycobacterium sp. pV006
0_0217	10	ml	yes	44006	10	host_clade_0005,host_clade_0050,host_clade_0204,host_clade_0354	Mycobacterium intracellulare,Mycobacterium paraintracellulare,Mycobacterium senriense
0_0218	6	ml	yes	33725	6	host_clade_0047,host_clade_0065,host_clade_0104,host_clade_0855	Mycobacterium sp. TH-M25,Mycolicibacter arupensis,Mycolicibacter virginiensis
0_0219	2	ml	yes	108057	2	host_clade_0001	Mycobacteroides abscessus
0_0220	2	ml	yes	59989	2	host_clade_0080,host_clade_0112	Mycobacterium farcinogenes,Mycobacterium sp. NGS44
0_0221	8	ml	yes	40880	8	host_clade_0023,host_clade_0056,host_clade_0169,host_clade_0774	Mycobacterium colombiense,Mycobacterium hainanense,Mycobacterium malmoense
0_0222	9	ml	yes	23602	9	host_clade_0001,host_clade_0530	Mycobacterium sp. NGS15,Mycobacteroides abscessus,Mycobacteroides chelonae
0_0223	9	ml	yes	94154	9	host_clade_0040,host_clade_0069,host_clade_0121,host_clade_0317,host_clade_0714	Mycobacterium europaeum,Mycobacterium interjectum,Mycobacterium seoulense
0_0224	1	singleton	n/a	50906	1	host_clade_0002	Mycobacterium marinum
0_0225	2	ml	yes	91749	2	host_clade_0001,host_clade_0006	Mycobacteroides abscessus,Mycolicibacterium fortuitum
0_0226	11	ml	yes	90856	11	host_clade_0006	Mycolicibacterium fortuitum
0_0227	2	ml	yes	24202	2	host_clade_0004,host_clade_0170	Mycobacterium kansasii,Mycobacterium sp. MS3
0_0228	1	singleton	n/a	51165	1	host_clade_0175	Mycobacterium shimoidei
0_0229	3	ml	yes	69848	2	host_clade_0029,host_clade_0514	Mycobacterium sp. WY10,Mycolicibacterium tusciae
0_0230	2	ml	yes	27463	2	host_clade_0226,host_clade_0301	Mycobacterium adipatum,Mycobacterium sp. AT1
0_0231	5	ml	yes	32668	5	host_clade_0141,host_clade_0325	Mycolicibacterium arabiense,Mycolicibacterium grossiae
0_0232	6	ml	yes	115981	6	host_clade_0067,host_clade_0686	Mycobacterium sp. HM-7,Mycolicibacterium sp. CBMA 213,Mycolicibacterium sp. CBMA 230
0_0233	10	ml	yes	104837	9	host_clade_0068,host_clade_0214,host_clade_0254,host_clade_0261	Mycobacterium sp. Root265,Mycolicibacterium aichiense,Mycolicibacterium hassiacum
0_0234	5	ml	yes	24823	5	host_clade_0006,host_clade_0030,host_clade_0069,host_clade_0358	Mycobacterium sp. 29Ha,Mycobacterium sp. 852014-52450_SCH5900713,Mycobacterium sp. NGS39
0_0235	4	ml	yes	22816	4	host_clade_0005,host_clade_0069,host_clade_0110,host_clade_0796	Mycobacterium paraense,Mycobacterium sp. 2-64,Mycobacterium sp. 852014-52450_SCH5900713
0_0236	3	ml	yes	102820	3	host_clade_0006	Mycolicibacterium fortuitum
0_0237	3	ml	yes	46278	3	host_clade_0032,host_clade_0066	Mycobacterium gordonae,Mycobacterium paragordonae
0_0238	3	ml	yes	13853	3	host_clade_0006,host_clade_0013,host_clade_0294	Mycolicibacterium fortuitum,Mycolicibacterium lutetiense,Mycolicibacterium senegalense
0_0239	9	ml	yes	55898	9	host_clade_0006	Mycolicibacterium fortuitum,Mycolicibacterium sp.
0_0240	4	ml	yes	20890	4	host_clade_0013,host_clade_0015	Mycobacterium sp. NPDC051198,Mycolicibacterium senegalense
0_0241	2	ml	yes	26114	2	host_clade_0004	Mycobacterium kansasii,Mycobacterium persicum
0_0242	9	ml	yes	55110	9	host_clade_0013,host_clade_0067	Mycolicibacterium senegalense,Mycolicibacterium sp. CBMA 213,Mycolicibacterium sp. CBMA 230
0_0243	5	ml	yes	59683	5	host_clade_0006,host_clade_0058,host_clade_0063	Mycobacterium sp. DBP42,Mycolicibacterium fortuitum,Mycolicibacterium goodii
0_0244	7	ml	yes	80387	4	host_clade_0001	Mycobacteroides abscessus
0_0245	9	ml	yes	24682	9	host_clade_0017,host_clade_0271,host_clade_0286	Mycolicibacterium elephantis,Mycolicibacterium pulveris
0_0246	6	ml	yes	29428	4	host_clade_0049,host_clade_0070	Mycobacterium kubicae,Mycobacterium paragordonae
0_0247	2	ml	yes	21093	2	host_clade_0296,host_clade_0473	Mycobacterium sp. DL592,Mycobacterium sp. Panama NTM2
0_0248	2	ml	yes	26943	2	host_clade_0131	Mycobacterium sp. DL,Mycolicibacterium hippocampi
0_0249	1	singleton	n/a	16521	1	host_clade_0277	Mycobacterium barrassiae
0_0250	7	ml	yes	52229	7	host_clade_0006	Mycolicibacterium fortuitum
0_0251	3	ml	yes	31763	3	host_clade_0006	Mycolicibacterium fortuitum
0_0252	9	ml	yes	32528	9	host_clade_0044,host_clade_0084,host_clade_0399	Mycobacterium sp. VKM Ac-1816D,Mycolicibacterium neoaurum,Mycolicibacterium sp. Y3
0_0253	5	ml	yes	71618	5	host_clade_0028,host_clade_0127	Mycobacterium sp.,Mycolicibacterium canariasense
0_0254	6	ml	yes	20200	6	host_clade_0030	Mycobacterium sp. NGS13,Mycobacterium sp. NGS19,Mycobacterium sp. NGS25
0_0255	8	ml	yes	17418	8	host_clade_0111,host_clade_0213,host_clade_0356,host_clade_0358	Mycobacterium sp. 29Ha,Mycobacterium sp. NPDC050041,Mycolicibacter hiberniae
0_0256	1	singleton	n/a	14268	1	host_clade_0005	Mycobacterium intracellulare
0_0257	2	ml	yes	33468	2	host_clade_0046	Mycolicibacterium tokaiense
0_0258	5	ml	yes	61867	5	host_clade_0009,host_clade_0210,host_clade_0358,host_clade_0623	Mycobacterium gallinarum,Mycolicibacterium aurum,Mycolicibacterium baixiangningiae
0_0259	3	ml	yes	79704	3	host_clade_0006,host_clade_0015,host_clade_0112	Mycolicibacterium houstonense,Mycolicibacterium peregrinum,Mycolicibacterium sp.
0_0260	6	ml	yes	105816	5	host_clade_0080,host_clade_0170,host_clade_0204,host_clade_0252	Mycobacterium sp. NGS36,Mycobacterium sp. NGS66,Mycobacterium sp. NGS67
0_0261	4	ml	yes	23921	4	host_clade_0001,host_clade_0071,host_clade_0277	Mycobacterium barrassiae,Mycobacterium sp. NGS30,Mycobacterium sp. TJFP1
0_0262	6	ml	yes	145547	5	host_clade_0003,host_clade_0005,host_clade_0055,host_clade_0277	Mycobacterium avium,Mycobacterium intracellulare,Mycobacterium sp. NGS30
0_0263	6	ml	yes	64017	6	host_clade_0055,host_clade_0087,host_clade_0166,host_clade_0261,host_clade_0514	Mycolicibacterium goodii,Mycolicibacterium novocastrense,Mycolicibacterium sp.
0_0264	7	ml	yes	60999	7	host_clade_0026,host_clade_0127	Mycolicibacterium canariasense,Mycolicibacterium mageritense
0_0265	4	ml	yes	83068	4	host_clade_0003,host_clade_0005	Mycobacterium avium,Mycobacterium intracellulare
0_0266	3	ml	yes	29696	3	host_clade_0216	Mycolicibacter minnesotensis
0_0267	2	ml	yes	64314	2	host_clade_0001	Mycobacteroides abscessus
0_0268	2	ml	yes	33816	2	host_clade_0001	Mycobacteroides abscessus
0_0269	6	ml	yes	99568	6	host_clade_0001,host_clade_0089	Mycobacterium intracellulare,Mycobacterium toneyamaense,Mycobacteroides chelonae
0_0270	1	singleton	n/a	45986	1	host_clade_0092	Mycobacterium heckeshornense
0_0271	1	singleton	n/a	11935	1	host_clade_0002	Mycobacterium marinum
0_0272	1	singleton	n/a	13059	1	host_clade_0229	Mycobacterium sp. 4D054
0_0273	1	singleton	n/a	10226	1	host_clade_0186	Mycolicibacterium sp. XJ2546
0_0274	1	singleton	n/a	62096	1	host_clade_0003	Mycobacterium avium
0_0275	5	ml	yes	93991	5	host_clade_0001	Mycobacteroides abscessus
0_0276	4	ml	yes	38708	4	host_clade_0009,host_clade_0221,host_clade_0829	Mycolicibacterium mengxianglii,Mycolicibacterium poriferae,uncultured Mycobacterium sp.
0_0277	6	ml	yes	13381	6	host_clade_0060,host_clade_0095	Mycolicibacterium chlorophenolicum,Mycolicibacterium rufum
0_0278	6	ml	yes	22749	6	host_clade_0050	Mycobacterium simiae,Mycobacterium sp. IDUB_28,Mycobacterium sp. NGS46
0_0279	2	ml	yes	14448	2	host_clade_0183	Mycobacterium sp.,uncultured Mycobacterium sp.
0_0280	5	ml	yes	149732	5	host_clade_0047,host_clade_0065	Mycobacterium sp. UM_Kg17,Mycobacterium sp. UM_NZ2,Mycolicibacter arupensis
0_0281	1	singleton	n/a	8737	1	host_clade_0020	Mycolicibacterium vulneris
0_0282	3	ml	yes	12893	3	host_clade_0244	Mycolicibacterium doricum
0_0283	1	singleton	n/a	35950	1	host_clade_0003	Mycobacterium avium
0_0284	2	ml	yes	46270	2	host_clade_0296,host_clade_0566	Mycobacterium neglectum,Mycobacterium sp. Panama NTM2
0_0285	5	ml	yes	14640	5	host_clade_0107,host_clade_0301	Mycolicibacterium hodleri,Mycolicibacterium holsaticum
0_0286	6	ml	yes	13792	6	host_clade_0094	Mycolicibacterium sp. CBMA 247,Mycolicibacterium sp. CBMA 294,Mycolicibacterium sp. CBMA 295
0_0287	5	ml	yes	85094	3	host_clade_0072	Mycolicibacterium insubricum
0_0288	5	ml	yes	10969	5	host_clade_0001	Mycobacterium sp.,Mycobacterium toneyamaense,Mycobacteroides abscessus
0_0289	3	ml	yes	71601	3	host_clade_0170,host_clade_0406	Mycobacterium camsae,Mycobacterium sp. MS3,Mycobacterium sp. TY815
0_0290	6	ml	yes	53566	5	host_clade_0003,host_clade_0005	Mycobacterium avium,Mycobacterium intracellulare
0_0291	4	ml	yes	127987	4	host_clade_0048,host_clade_0104,host_clade_0399,host_clade_0814	Mycobacterium sp. UM_RHS,Mycolicibacterium iranicum,Mycolicibacterium neoaurum
0_0292	4	ml	yes	43993	4	host_clade_0015	Mycolicibacterium peregrinum
0_0293	6	ml	yes	79445	4	host_clade_0127	Mycolicibacterium canariasense
0_0294	1	singleton	n/a	11031	1	host_clade_0696	Mycobacterium sp.
0_0295	1	singleton	n/a	25695	1	host_clade_0444	Mycobacterium sp. NGS68
0_0296	4	ml	yes	108104	4	host_clade_0077	Mycolicibacterium thermoresistibile
0_0297	2	ml	yes	20224	2	host_clade_0009,host_clade_0787	Mycolicibacterium aurantiacum,Mycolicibacterium chubuense
0_0298	4	ml	yes	82371	3	host_clade_0003,host_clade_0514,host_clade_0830	Mycobacterium avium,Mycobacterium sp. JS623,Mycolicibacterium tusciae
0_0299	3	ml	yes	20165	3	host_clade_0044	Mycobacterium sp. VKM Ac-1816D,Mycolicibacterium neoaurum
0_0300	4	ml	yes	81478	4	host_clade_0003,host_clade_0092,host_clade_0218	Mycobacterium bouchedurhonense,Mycobacterium heckeshornense,Mycobacterium kyorinense
0_0301	4	ml	yes	84837	4	host_clade_0073	Mycolicibacterium mucogenicum
0_0302	3	ml	yes	44396	3	host_clade_0175	Mycobacterium shimoidei
0_0303	1	singleton	n/a	12750	1	host_clade_0772	Mycobacterium sp. MS1601
0_0304	5	ml	yes	29777	5	host_clade_0070	Mycobacterium kubicae
0_0305	5	ml	yes	60167	4	host_clade_0005,host_clade_0117,host_clade_0258,host_clade_0575	Candidatus Mycobacterium methanotrophicum,Mycobacterium intracellulare,Mycobacterium servetii
0_0306	3	ml	yes	28300	3	host_clade_0029,host_clade_0126,host_clade_0208	Mycobacterium sp. PYR15,Mycobacterium sp. SA01,Mycolicibacterium parafortuitum
0_0307	1	singleton	n/a	4265	1	host_clade_0001	Mycolicibacterium sp. NCC-Tsukiji
0_0308	1	singleton	n/a	14367	1	host_clade_0864	Mycolicibacterium sp. CR10
0_0309	4	ml	yes	85435	4	host_clade_0001,host_clade_0041,host_clade_0728	Mycobacterium sp. SMC-18,Mycobacterium sp. SMC-21,Mycolicibacterium llatzerense
0_0310	1	singleton	n/a	10348	1	host_clade_0237	Mycolicibacterium litorale
0_0311	2	ml	yes	71785	2	host_clade_0001	Mycobacteroides abscessus
0_0312	1	singleton	n/a	18887	1	host_clade_0081	Mycolicibacterium sp. PAM1
0_0313	3	ml	yes	34282	3	host_clade_0041	Mycolicibacterium llatzerense
0_0314	1	singleton	n/a	13136	1	host_clade_0170	Mycobacterium sp. TY814
0_0315	1	singleton	n/a	14363	1	host_clade_0774	Mycobacterium hainanense
0_0316	4	ml	yes	26878	4	host_clade_0090	Mycolicibacillus trivialis
0_0317	2	ml	yes	54570	2	host_clade_0001	Mycobacteroides abscessus
0_0318	1	singleton	n/a	20681	1	host_clade_0330	Mycobacterium simulans
0_0319	2	ml	yes	35498	2	host_clade_0064,host_clade_0203	Mycolicibacterium bacteremicum,Mycolicibacterium iranicum
0_0320	4	ml	yes	35024	4	host_clade_0051	Mycobacterium sp.
0_0321	4	ml	yes	67456	4	host_clade_0053,host_clade_0072	Mycobacterium sp.,Mycolicibacterium fallax
0_0322	4	ml	yes	149909	3	host_clade_0072	Mycobacterium sp.,Mycolicibacterium insubricum,Mycolicibacterium sp.
0_0323	4	ml	yes	9523	4	host_clade_0041	Mycolicibacterium llatzerense
0_0324	3	ml	yes	115705	3	host_clade_0009,host_clade_0071,host_clade_0446	Mycobacterium sp. NAZ190054,Mycobacterium sp. TJFP1,Mycolicibacterium poriferae
0_0325	3	ml	yes	60035	3	host_clade_0080,host_clade_0819	Mycobacterium sp. NGS36,Mycobacterium sp. NGS41,Mycobacterium sp. NGS66
0_0326	1	singleton	n/a	13037	1	host_clade_0223	Mycobacterium sp. NGS17
0_0327	1	singleton	n/a	59588	1	host_clade_0573	uncultured Mycobacterium sp.
0_0328	4	ml	yes	26696	4	host_clade_0071	Mycolicibacterium austroafricanum,Mycolicibacterium sp. jd,Mycolicibacterium sp. yt
0_0329	4	ml	yes	55159	4	host_clade_0060,host_clade_0084,host_clade_0830	Mycobacterium hackensackense,Mycobacterium sp. JS623,Mycolicibacterium chlorophenolicum
0_0330	4	ml	yes	90940	4	host_clade_0098,host_clade_0249,host_clade_0722	Mycobacterium sp. SVM_VP21,Mycolicibacter heraklionensis,[Mycobacterium] zoologicum
0_0331	4	ml	yes	78170	4	host_clade_0073	Mycolicibacterium mucogenicum
0_0332	4	ml	yes	53881	4	host_clade_0160,host_clade_0162	Mycobacterium sp. IS-1556,Mycolicibacterium celeriflavum
0_0333	3	ml	yes	59087	3	host_clade_0036,host_clade_0105	Mycobacterium colombiense,Mycobacterium sp. 1165196.3
0_0334	4	ml	yes	32486	3	host_clade_0029,host_clade_0272	Mycobacterium sp. WY10,Mycolicibacterium rhodesiae
0_0335	1	singleton	n/a	52186	1	host_clade_0001	Mycobacteroides chelonae
0_0336	2	ml	yes	62458	2	host_clade_0027	Mycolicibacter algericus
0_0337	3	ml	yes	63061	3	host_clade_0003,host_clade_0124	Mycobacterium avium,Mycobacterium nebraskense
0_0338	4	ml	yes	26433	4	host_clade_0029,host_clade_0350	Mycobacterium sp. PYR15,Mycolicibacterium pallens,Mycolicibacterium sp. HS_4_1
0_0339	1	singleton	n/a	11251	1	host_clade_0281	Mycobacteroides stephanolepidis
0_0340	1	singleton	n/a	7179	1	host_clade_0396	Mycolicibacterium palauense
0_0341	1	singleton	n/a	12827	1	host_clade_0081	Mycobacterium sp. PYR10
0_0342	1	singleton	n/a	12566	1	host_clade_0055	Mycolicibacterium goodii
0_0343	4	ml	yes	21870	4	host_clade_0002,host_clade_0170	Mycobacterium marinum,Mycobacterium sp. MS3,Mycobacterium sp. TY814
0_0344	4	ml	yes	36085	4	host_clade_0067	Mycolicibacterium sp. CBMA 213,Mycolicibacterium sp. CBMA 293,Mycolicibacterium sp. CBMA 335
0_0345	1	singleton	n/a	5899	1	host_clade_0441	Mycolicibacter acidiphilus
0_0346	2	ml	yes	24243	1	host_clade_0055	Mycolicibacterium goodii
0_0347	1	singleton	n/a	10435	1	host_clade_0009	Mycolicibacterium aurantiacum
0_0348	4	ml	yes	24010	4	host_clade_0027,host_clade_0299,host_clade_0430	Mycobacterium novum,Mycolicibacterium komossense,[Mycobacterium] nativiensis
0_0349	4	ml	yes	149940	4	host_clade_0044,host_clade_0084,host_clade_0127	Mycobacterium hackensackense,Mycolicibacterium canariasense,Mycolicibacterium sp. A43C
0_0350	2	ml	yes	20581	2	host_clade_0133	Mycobacterium shigaense
0_0351	1	singleton	n/a	44716	1	host_clade_0313	Mycobacterium sp. NPDC050853
0_0352	2	ml	yes	109799	2	host_clade_0006,host_clade_0008	Mycobacterium sp. 134,Mycolicibacterium fortuitum
0_0353	1	singleton	n/a	21900	1	host_clade_0001	Mycobacteroides abscessus
0_0354	2	ml	yes	80220	2	host_clade_0314,host_clade_0845	Mycobacterium sp. IDUB_1,Mycolicibacterium litorale
0_0355	1	singleton	n/a	59727	1	host_clade_0296	Mycobacterium sp. Panama NTM2
0_0356	1	singleton	n/a	9500	1	host_clade_0314	Mycobacterium sp. IDUB_1
0_0357	3	ml	yes	74333	3	host_clade_0063	Mycolicibacterium wolinskyi
0_0358	3	ml	yes	76882	3	host_clade_0005	Mycobacterium intracellulare
0_0359	3	ml	yes	22457	3	host_clade_0004,host_clade_0142	Mycobacterium attenuatum,Mycobacterium kansasii
0_0360	3	ml	yes	49778	1	host_clade_0001	Mycobacteroides abscessus
0_0361	2	ml	yes	17790	2	host_clade_0084	Mycolicibacterium flavescens,Mycolicibacterium fluoranthenivorans
0_0362	3	ml	yes	19757	3	host_clade_0008,host_clade_0112	Mycobacterium farcinogenes,Mycobacterium sp. 455mf,Mycobacterium sp. 88mf
0_0363	2	ml	yes	23303	2	host_clade_0224,host_clade_0600	Mycobacterium sp.,Mycolicibacterium moriokaense
0_0364	3	ml	yes	39464	3	host_clade_0006	Mycolicibacterium fortuitum,Mycolicibacterium sp.
0_0365	1	singleton	n/a	8573	1	host_clade_0071	Mycobacterium sp. TJFP1
0_0366	1	singleton	n/a	48375	1	host_clade_0004	Mycobacterium kansasii
0_0367	3	ml	yes	125330	3	host_clade_0005,host_clade_0190	Mycobacterium intracellulare,Mycobacterium sp. NGS33
0_0368	1	singleton	n/a	41223	1	host_clade_0830	Mycobacterium sp. JS623
0_0369	2	ml	yes	30172	2	host_clade_0104	Mycobacterium sp. UM_NYF,Mycobacterium sp. UM_RHS
0_0370	1	singleton	n/a	16772	1	host_clade_0065	Mycolicibacter arupensis
0_0371	1	singleton	n/a	13482	1	host_clade_0104	Mycobacterium sp. UM_NYF
0_0372	3	ml	yes	19905	3	host_clade_0047,host_clade_0249	Mycolicibacter heraklionensis,Mycolicibacter virginiensis
0_0373	3	ml	yes	29438	3	host_clade_0217,host_clade_0341	Mycobacterium sp. 852013-50091_SCH5140682,Mycolicibacterium neworleansense
0_0374	1	singleton	n/a	7410	1	host_clade_0033	Mycobacterium lehmannii
0_0375	3	ml	yes	67788	3	host_clade_0127	Mycolicibacterium canariasense
0_0376	2	ml	yes	21159	2	host_clade_0033,host_clade_0239	Mycobacterium neumannii,Mycobacterium sp. 852002-51961_SCH5331710
0_0377	3	ml	yes	25261	3	host_clade_0033,host_clade_0195	Mycobacterium sp. 852014-52144_SCH5372336,Mycolicibacterium psychrotolerans
0_0378	1	singleton	n/a	16224	1	host_clade_0036	Mycobacterium colombiense
0_0379	1	singleton	n/a	27119	1	host_clade_0361	Mycobacterium asiaticum
0_0380	3	ml	yes	35734	3	host_clade_0047,host_clade_0065,host_clade_0466	Mycolicibacter arupensis,Mycolicibacter heraklionensis,[Mycobacterium] holstebronense
0_0381	3	ml	yes	48884	3	host_clade_0003,host_clade_0004,host_clade_0005	Mycobacterium avium,Mycobacterium intracellulare,Mycobacterium kansasii
0_0382	3	ml	yes	14043	3	host_clade_0107,host_clade_0286	Mycolicibacterium holsaticum,Mycolicibacterium pulveris
0_0383	2	ml	yes	32664	2	host_clade_0001	Mycobacteroides chelonae
0_0384	2	ml	yes	103503	1	host_clade_0001	Mycobacteroides chelonae
0_0385	3	ml	yes	6420	3	host_clade_0001,host_clade_0041	Mycobacterium toneyamaense,Mycolicibacterium llatzerense,Mycolicibacterium sp. 141076
0_0386	3	ml	yes	72714	2	host_clade_0169,host_clade_0317	Mycobacterium interjectum,Mycobacterium malmoense
0_0387	1	singleton	n/a	15848	1	host_clade_0169	Mycobacterium malmoense
0_0388	3	ml	yes	30484	3	host_clade_0224	Mycolicibacterium moriokaense
0_0389	3	ml	yes	36325	3	host_clade_0224	Mycolicibacterium moriokaense
0_0390	3	ml	yes	21482	3	host_clade_0216	Mycolicibacter minnesotensis
0_0391	3	ml	yes	30211	3	host_clade_0236	Mycobacterium noviomagense
0_0392	1	singleton	n/a	12467	1	host_clade_0027	Mycolicibacter algericus
0_0393	3	ml	yes	61162	3	host_clade_0053	Mycolicibacterium fallax
0_0394	3	ml	yes	149795	3	host_clade_0159	Mycolicibacillus koreensis
0_0395	3	ml	yes	149969	3	host_clade_0001,host_clade_0063	Mycobacteroides abscessus,Mycolicibacterium wolinskyi
0_0396	3	ml	yes	75868	2	host_clade_0228	Mycobacterium eburneum,Mycobacterium talmoniae
0_0397	2	ml	yes	56314	2	host_clade_0013,host_clade_0058	Mycobacterium sp. DBP42,Mycolicibacterium senegalense
0_0398	3	ml	yes	22841	3	host_clade_0129	Mycolicibacterium hippocampi
0_0399	3	ml	yes	18992	3	host_clade_0129	Mycolicibacterium hippocampi
0_0400	3	ml	yes	70093	2	host_clade_0286	Mycolicibacterium pulveris
0_0401	3	ml	yes	34559	3	host_clade_0046	Mycolicibacterium tokaiense
0_0402	3	ml	yes	71045	3	host_clade_0084	Mycolicibacterium fluoranthenivorans
0_0403	3	ml	yes	116533	2	host_clade_0084	Mycolicibacterium fluoranthenivorans
0_0404	2	ml	yes	90928	2	host_clade_0001	Mycobacterium sp. SMC-13,Mycolicibacterium phocaicum
0_0405	3	ml	yes	37878	3	host_clade_0139	Mycolicibacillus parakoreensis
0_0406	3	ml	yes	8121	3	host_clade_0139	Mycolicibacillus parakoreensis
0_0407	3	ml	yes	135828	3	host_clade_0048	Mycolicibacterium neoaurum,Mycolicibacterium sp. PDY-3
0_0408	1	singleton	n/a	10256	1	host_clade_0714	Mycobacterium sp. SMC-2
0_0409	3	ml	yes	52939	2	host_clade_0203	Mycolicibacterium bacteremicum
0_0410	3	ml	yes	64789	3	host_clade_0231	Mycobacterium pinniadriaticum,Mycobacterium sp. P3
0_0411	3	ml	yes	26535	3	host_clade_0231	Mycobacterium pinniadriaticum,Mycobacterium sp. P3
0_0412	3	ml	yes	35483	3	host_clade_0231	Mycobacterium pinniadriaticum,Mycobacterium sp. P3
0_0413	3	ml	yes	33079	3	host_clade_0002	Mycobacterium marinum
0_0414	1	singleton	n/a	13344	1	host_clade_0005	Mycobacterium intracellulare
0_0415	3	ml	yes	48736	2	host_clade_0047,host_clade_0065	Mycobacterium sp. SMC-11,Mycobacterium sp. UM_Kg17
0_0416	1	singleton	n/a	10161	1	host_clade_0229	Mycobacterium sp. 4D054
0_0417	3	ml	yes	12599	3	host_clade_0176	Mycolicibacterium sp. XJ647,Mycolicibacterium sp. XJ652,Mycolicibacterium sp. XJ662
0_0418	2	ml	yes	25562	2	host_clade_0058,host_clade_0177	Mycobacterium sp. IDUB_17,Mycobacterium syngnathidarum
0_0419	2	ml	yes	68083	2	host_clade_0064,host_clade_0296	Mycobacterium sp. PSTR-4-N,Mycolicibacterium iranicum
0_0420	1	singleton	n/a	11648	1	host_clade_0001	Mycobacteroides abscessus
0_0421	2	ml	yes	70012	2	host_clade_0063	Mycolicibacterium wolinskyi
0_0422	2	ml	yes	16472	2	host_clade_0112	Mycolicibacterium houstonense
0_0423	3	ml	yes	66663	3	host_clade_0001	Mycobacteroides abscessus
0_0424	3	ml	yes	11913	3	host_clade_0001	Mycobacteroides abscessus
0_0425	2	ml	yes	18258	2	host_clade_0146	Mycobacterium sp.
0_0426	2	ml	yes	17193	2	host_clade_0221	Mycolicibacterium mengxianglii
0_0427	2	ml	yes	18695	2	host_clade_0199	Mycobacterium sp.,Mycolicibacterium sp.
0_0428	2	ml	yes	84712	2	host_clade_0296,host_clade_0519	Mycobacterium sp.,Mycobacterium sp. PSTR-4-N
0_0429	2	ml	yes	31021	1	host_clade_0084	Mycolicibacterium sp. Y3
0_0430	1	singleton	n/a	44826	1	host_clade_0119	Mycobacterium sp. NGS62
0_0431	2	ml	yes	15383	2	host_clade_0030,host_clade_0116	Mycobacterium simiae,Mycobacterium sp. NGS60
0_0432	2	ml	yes	11275	2	host_clade_0050	Mycobacterium sp. NGS29,Mycobacterium sp. NGS37
0_0433	2	ml	yes	29492	1	host_clade_0001	Mycobacteroides abscessus
0_0434	1	singleton	n/a	8839	1	host_clade_0009	Mycolicibacterium poriferae
0_0435	2	ml	yes	6085	2	host_clade_0267	Mycobacterium sp.
0_0436	2	ml	yes	19173	2	host_clade_0009	Mycolicibacterium poriferae
0_0437	1	singleton	n/a	10282	1	host_clade_0056	Mycobacterium parascrofulaceum
0_0438	2	ml	yes	149814	2	host_clade_0037	Mycolicibacterium phlei
0_0439	2	ml	yes	13712	2	host_clade_0408,host_clade_0425	Mycobacterium sp. 155,Mycobacterium venezuelense
0_0440	2	ml	yes	9813	2	host_clade_0064	Mycolicibacterium iranicum
0_0441	2	ml	yes	59852	2	host_clade_0048	Mycobacterium sp. UNCCL9,Mycolicibacterium neoaurum
0_0442	2	ml	yes	10642	2	host_clade_0213	Mycolicibacterium aurum
0_0443	2	ml	yes	50238	2	host_clade_0092,host_clade_0861	Mycobacterium heckeshornense,Mycobacterium sp. MFM001
0_0444	1	singleton	n/a	15351	1	host_clade_0121	Mycobacterium europaeum
0_0445	2	ml	yes	83173	2	host_clade_0015	Mycolicibacterium peregrinum
0_0446	2	ml	yes	49552	2	host_clade_0155	Mycolicibacterium brisbanense
0_0447	2	ml	yes	13344	2	host_clade_0246	Mycobacterium sp. E1214,Mycobacterium sp. E1319
0_0448	2	ml	yes	31538	2	host_clade_0246	Mycobacterium sp. E1214,Mycobacterium sp. E1319
0_0449	2	ml	yes	76754	2	host_clade_0047,host_clade_0167	Mycolicibacter heraklionensis,Mycolicibacter kumamotonensis
0_0450	2	ml	yes	29964	2	host_clade_0153,host_clade_0442	Mycobacterium alsense,Mycobacterium sp.
0_0451	1	singleton	n/a	9546	1	host_clade_0056	Mycobacterium malmoense
0_0452	2	ml	yes	86956	2	host_clade_0020,host_clade_0412	Mycolicibacterium psychrotolerans,Mycolicibacterium vulneris
0_0453	2	ml	yes	101743	2	host_clade_0005	Mycobacterium intracellulare
0_0454	2	ml	yes	20263	2	host_clade_0340	Mycobacterium angelicum
