genome_accession	accession_no_version	assembly_version	accession_source_line	all_record_count	all_unique_locus_count	all_valid_coordinate_locus_count	all_hit_scaffold_count	all_total_bp_1based_closed	all_total_bp_end_minus_begin	transposable_flag_positive_record_count	transposable_flag_positive_unique_locus_count	transposable_flag_positive_valid_coordinate_locus_count	transposable_flag_positive_hit_scaffold_count	transposable_flag_positive_total_bp_1based_closed	transposable_flag_positive_total_bp_end_minus_begin	taxonomy_assigned_record_count	taxonomy_assigned_unique_locus_count	taxonomy_assigned_valid_coordinate_locus_count	taxonomy_assigned_hit_scaffold_count	taxonomy_assigned_total_bp_1based_closed	taxonomy_assigned_total_bp_end_minus_begin
GCF_002464535.1	GCF_002464535	1	7047	3	3	3	3	84028	84025	0	0	0	0	0	0	2	2	2	2	82854	82852
GCF_002464575.1	GCF_002464575	1	7048	3	3	3	3	76056	76053	1	1	1	1	21057	21056	3	3	3	3	76056	76053
GCF_002464595.1	GCF_002464595	1	7049	3	3	3	3	112013	112010	0	0	0	0	0	0	2	2	2	2	90139	90137
GCF_002464605.1	GCF_002464605	1	7050	3	3	3	3	41518	41515	0	0	0	0	0	0	3	3	3	3	41518	41515
GCF_002464615.1	GCF_002464615	1	7051	4	4	4	4	72908	72904	1	1	1	1	15814	15813	4	4	4	4	72908	72904
GCF_002464645.1	GCF_002464645	1	7052	5	5	5	5	210796	210791	0	0	0	0	0	0	4	4	4	4	191523	191519
GCF_002464675.1	GCF_002464675	1	7053	8	8	8	8	128492	128484	0	0	0	0	0	0	6	6	6	6	112323	112317
GCF_002464685.1	GCF_002464685	1	7054	4	4	4	3	101293	101289	0	0	0	0	0	0	3	3	3	3	97786	97783
GCF_002464695.1	GCF_002464695	1	7055	4	4	4	4	61007	61003	0	0	0	0	0	0	3	3	3	3	47590	47587
GCF_002464705.1	GCF_002464705	1	7056	1	1	1	1	10715	10714	0	0	0	0	0	0	0	0	0	0	0	0
GCF_002464745.1	GCF_002464745	1	7057	3	3	3	3	26630	26627	1	1	1	1	11428	11427	3	3	3	3	26630	26627
GCF_002464755.1	GCF_002464755	1	7058	1	1	1	1	13336	13335	0	0	0	0	0	0	0	0	0	0	0	0
GCF_002464775.1	GCF_002464775	1	7059	3	3	3	3	58016	58013	0	0	0	0	0	0	3	3	3	3	58016	58013
GCF_002464815.1	GCF_002464815	1	7060	4	4	4	4	93709	93705	0	0	0	0	0	0	4	4	4	4	93709	93705
GCF_002464825.1	GCF_002464825	1	7061	4	4	4	4	46734	46730	1	1	1	1	10745	10744	4	4	4	4	46734	46730
GCF_002464835.1	GCF_002464835	1	7062	4	4	4	4	100918	100914	0	0	0	0	0	0	4	4	4	4	100918	100914
GCF_002464875.1	GCF_002464875	1	7063	5	5	5	5	96860	96855	0	0	0	0	0	0	5	5	5	5	96860	96855
GCF_002464965.1	GCF_002464965	1	7064	5	5	5	5	80720	80715	0	0	0	0	0	0	4	4	4	4	73636	73632
GCF_002464975.1	GCF_002464975	1	7065	10	10	10	8	203643	203633	1	1	1	1	25323	25322	8	8	8	8	191249	191241
GCF_002464985.1	GCF_002464985	1	7066	1	1	1	1	21870	21869	0	0	0	0	0	0	1	1	1	1	21870	21869
GCF_002465025.1	GCF_002465025	1	7067	3	3	3	3	148054	148051	0	0	0	0	0	0	3	3	3	3	148054	148051
GCF_002465045.1	GCF_002465045	1	7068	4	4	4	4	66146	66142	0	0	0	0	0	0	3	3	3	3	62895	62892
GCF_002465055.1	GCF_002465055	1	7069	3	3	3	3	95609	95606	0	0	0	0	0	0	3	3	3	3	95609	95606
GCF_002465085.1	GCF_002465085	1	7070	7	7	7	4	178815	178808	0	0	0	0	0	0	5	5	5	4	164285	164280
GCF_002465095.1	GCF_002465095	1	7071	1	1	1	1	6838	6837	0	0	0	0	0	0	1	1	1	1	6838	6837
GCF_002465125.1	GCF_002465125	1	7072	4	4	4	4	105012	105008	0	0	0	0	0	0	4	4	4	4	105012	105008
GCF_002465145.1	GCF_002465145	1	7073	8	8	8	8	197872	197864	0	0	0	0	0	0	8	8	8	8	197872	197864
GCF_002465165.1	GCF_002465165	1	7074	3	3	3	3	88752	88749	0	0	0	0	0	0	2	2	2	2	71918	71916
GCF_002465185.1	GCF_002465185	1	7075	7	7	7	5	142065	142058	0	0	0	0	0	0	4	4	4	4	130334	130330
GCF_002465205.1	GCF_002465205	1	7076	1	1	1	1	29114	29113	0	0	0	0	0	0	1	1	1	1	29114	29113
GCF_002465215.1	GCF_002465215	1	7077	7	7	7	7	164791	164784	0	0	0	0	0	0	6	6	6	6	151270	151264
GCF_002465245.1	GCF_002465245	1	7078	2	2	2	2	77778	77776	0	0	0	0	0	0	2	2	2	2	77778	77776
GCF_002465265.1	GCF_002465265	1	7079	2	2	2	2	82308	82306	0	0	0	0	0	0	2	2	2	2	82308	82306
GCF_002465275.1	GCF_002465275	1	7080	4	4	4	4	89455	89451	0	0	0	0	0	0	4	4	4	4	89455	89451
GCF_002465305.1	GCF_002465305	1	7081	4	4	4	4	60315	60311	0	0	0	0	0	0	3	3	3	3	48391	48388
GCF_002465325.1	GCF_002465325	1	7082	2	2	2	2	59684	59682	0	0	0	0	0	0	2	2	2	2	59684	59682
GCF_002465345.1	GCF_002465345	1	7083	6	6	6	5	116145	116139	0	0	0	0	0	0	6	6	6	5	116145	116139
GCF_002465355.1	GCF_002465355	1	7084	3	3	3	3	66381	66378	0	0	0	0	0	0	2	2	2	2	49138	49136
GCF_002465385.1	GCF_002465385	1	7085	5	5	5	5	113492	113487	0	0	0	0	0	0	5	5	5	5	113492	113487
GCF_002465395.1	GCF_002465395	1	7086	4	4	4	4	107898	107894	0	0	0	0	0	0	3	3	3	3	89687	89684
GCF_002465405.1	GCF_002465405	1	7087	3	3	3	3	42415	42412	0	0	0	0	0	0	2	2	2	2	32626	32624
GCF_002465425.1	GCF_002465425	1	7088	5	5	5	5	101792	101787	0	0	0	0	0	0	4	4	4	4	91524	91520
GCF_002465465.1	GCF_002465465	1	7089	4	4	4	4	111045	111041	0	0	0	0	0	0	4	4	4	4	111045	111041
GCF_002465475.1	GCF_002465475	1	7090	3	3	3	3	46282	46279	0	0	0	0	0	0	2	2	2	2	29645	29643
GCF_002465485.1	GCF_002465485	1	7091	4	4	4	3	55536	55532	0	0	0	0	0	0	4	4	4	3	55536	55532
GCF_002465505.1	GCF_002465505	1	7092	2	2	2	2	57651	57649	0	0	0	0	0	0	1	1	1	1	40411	40410
GCF_002465545.1	GCF_002465545	1	7093	3	3	3	3	51982	51979	1	1	1	1	24848	24847	3	3	3	3	51982	51979
GCF_002465555.1	GCF_002465555	1	7094	8	8	8	8	199148	199140	2	2	2	2	54095	54093	7	7	7	7	183659	183652
GCF_002465565.1	GCF_002465565	1	7095	7	7	7	7	137875	137868	0	0	0	0	0	0	6	6	6	6	129678	129672
GCF_002465575.1	GCF_002465575	1	7096	8	8	8	6	130918	130910	0	0	0	0	0	0	6	6	6	6	120519	120513
GCF_002465625.1	GCF_002465625	1	7097	3	3	3	3	77647	77644	0	0	0	0	0	0	3	3	3	3	77647	77644
GCF_002465635.1	GCF_002465635	1	7098	4	4	4	4	86336	86332	0	0	0	0	0	0	4	4	4	4	86336	86332
GCF_002465645.1	GCF_002465645	1	7099	6	6	6	6	141832	141826	0	0	0	0	0	0	5	5	5	5	128231	128226
GCF_002465675.1	GCF_002465675	1	7100	4	4	4	4	73356	73352	0	0	0	0	0	0	3	3	3	3	54533	54530
GCF_002465705.1	GCF_002465705	1	7101	8	8	8	8	133409	133401	0	0	0	0	0	0	7	7	7	7	129071	129064
GCF_002465715.1	GCF_002465715	1	7102	2	2	2	2	46389	46387	0	0	0	0	0	0	2	2	2	2	46389	46387
GCF_002465725.1	GCF_002465725	1	7103	3	3	3	3	55037	55034	0	0	0	0	0	0	2	2	2	2	40254	40252
GCF_002465755.1	GCF_002465755	1	7104	6	6	6	6	141644	141638	0	0	0	0	0	0	4	4	4	4	116773	116769
GCF_002465785.1	GCF_002465785	1	7105	3	3	3	3	50858	50855	0	0	0	0	0	0	3	3	3	3	50858	50855
GCF_002465795.1	GCF_002465795	1	7106	4	4	4	4	74694	74690	0	0	0	0	0	0	4	4	4	4	74694	74690
GCF_002465815.1	GCF_002465815	1	7107	5	5	5	5	115865	115860	0	0	0	0	0	0	4	4	4	4	99411	99407
GCF_002465845.1	GCF_002465845	1	7108	1	1	1	1	10651	10650	0	0	0	0	0	0	1	1	1	1	10651	10650
GCF_002465855.1	GCF_002465855	1	7109	2	2	2	2	37356	37354	0	0	0	0	0	0	2	2	2	2	37356	37354
GCF_002465875.1	GCF_002465875	1	7110	3	3	3	3	91047	91044	0	0	0	0	0	0	2	2	2	2	71441	71439
GCF_002465905.1	GCF_002465905	1	7111	4	4	4	4	105710	105706	0	0	0	0	0	0	3	3	3	3	86104	86101
GCF_002465925.1	GCF_002465925	1	7112	5	5	5	5	95737	95732	0	0	0	0	0	0	4	4	4	4	84324	84320
GCF_002465935.1	GCF_002465935	1	7113	4	4	4	4	96328	96324	1	1	1	1	5281	5280	3	3	3	3	76722	76719
GCF_002465965.1	GCF_002465965	1	7114	3	3	3	3	95749	95746	0	0	0	0	0	0	3	3	3	3	95749	95746
GCF_002465975.1	GCF_002465975	1	7115	4	4	4	3	94290	94286	0	0	0	0	0	0	2	2	2	2	71441	71439
GCF_002466005.1	GCF_002466005	1	7116	2	2	2	2	86304	86302	0	0	0	0	0	0	2	2	2	2	86304	86302
GCF_002466025.1	GCF_002466025	1	7117	2	2	2	2	31172	31170	0	0	0	0	0	0	2	2	2	2	31172	31170
GCF_002466035.1	GCF_002466035	1	7118	1	1	1	1	31684	31683	0	0	0	0	0	0	1	1	1	1	31684	31683
GCF_002466045.1	GCF_002466045	1	7119	1	1	1	1	27485	27484	0	0	0	0	0	0	1	1	1	1	27485	27484
GCF_002466085.1	GCF_002466085	1	7120	5	5	5	5	80584	80579	0	0	0	0	0	0	5	5	5	5	80584	80579
GCF_002466105.1	GCF_002466105	1	7121	3	3	3	3	60455	60452	0	0	0	0	0	0	3	3	3	3	60455	60452
GCF_002466115.1	GCF_002466115	1	7122	3	3	3	3	67551	67548	0	0	0	0	0	0	2	2	2	2	49417	49415
GCF_002466125.1	GCF_002466125	1	7123	2	2	2	2	38807	38805	1	1	1	1	29302	29301	2	2	2	2	38807	38805
GCF_002466145.1	GCF_002466145	1	7124	3	3	3	3	72964	72961	1	1	1	1	32437	32436	3	3	3	3	72964	72961
GCF_002466185.1	GCF_002466185	1	7125	4	4	4	3	94290	94286	0	0	0	0	0	0	2	2	2	2	71441	71439
GCF_002466195.1	GCF_002466195	1	7126	3	3	3	3	44143	44140	1	1	1	1	15476	15475	2	2	2	2	28667	28665
GCF_002466205.1	GCF_002466205	1	7127	7	7	7	7	173011	173004	0	0	0	0	0	0	7	7	7	7	173011	173004
GCF_002466235.1	GCF_002466235	1	7128	4	4	4	4	63986	63982	0	0	0	0	0	0	3	3	3	3	56412	56409
GCF_002466255.1	GCF_002466255	1	7129	3	3	3	3	91047	91044	0	0	0	0	0	0	2	2	2	2	71441	71439
GCF_002466275.1	GCF_002466275	1	7130	4	4	4	4	62039	62035	0	0	0	0	0	0	3	3	3	3	46743	46740
GCF_002466295.1	GCF_002466295	1	7131	6	6	6	6	99742	99736	0	0	0	0	0	0	5	5	5	5	86425	86420
GCF_002466305.1	GCF_002466305	1	7132	6	6	6	6	158819	158813	0	0	0	0	0	0	6	6	6	6	158819	158813
GCF_002466345.1	GCF_002466345	1	7133	7	7	7	7	129012	129005	0	0	0	0	0	0	6	6	6	6	104644	104638
GCF_002466355.1	GCF_002466355	1	7134	5	5	5	4	128861	128856	1	1	1	1	9251	9250	4	4	4	4	119610	119606
GCF_002466365.1	GCF_002466365	1	7135	1	1	1	1	28335	28334	0	0	0	0	0	0	1	1	1	1	28335	28334
GCF_002466385.1	GCF_002466385	1	7136	4	4	4	4	87105	87101	0	0	0	0	0	0	3	3	3	3	77692	77689
GCF_002466425.1	GCF_002466425	1	7137	5	5	5	4	99581	99576	0	0	0	0	0	0	5	5	5	4	99581	99576
GCF_002466445.1	GCF_002466445	1	7138	2	2	2	2	27192	27190	0	0	0	0	0	0	2	2	2	2	27192	27190
GCF_002466455.1	GCF_002466455	1	7139	4	4	4	4	87105	87101	0	0	0	0	0	0	3	3	3	3	77692	77689
GCF_002466465.1	GCF_002466465	1	7140	5	5	5	5	47413	47408	0	0	0	0	0	0	3	3	3	3	33560	33557
GCF_002466505.1	GCF_002466505	1	7141	3	3	3	3	115501	115498	0	0	0	0	0	0	3	3	3	3	115501	115498
GCF_002466515.1	GCF_002466515	1	7142	3	3	3	1	95983	95980	0	0	0	0	0	0	3	3	3	1	95983	95980
GCF_002466525.1	GCF_002466525	1	7143	3	3	3	3	120790	120787	0	0	0	0	0	0	3	3	3	3	120790	120787
GCF_002466555.1	GCF_002466555	1	7144	2	2	2	2	35983	35981	0	0	0	0	0	0	2	2	2	2	35983	35981
GCF_002466585.1	GCF_002466585	1	7145	2	2	2	2	35983	35981	0	0	0	0	0	0	2	2	2	2	35983	35981
GCF_002466595.1	GCF_002466595	1	7146	2	2	2	2	35983	35981	0	0	0	0	0	0	2	2	2	2	35983	35981
GCF_002466605.1	GCF_002466605	1	7147	4	4	4	4	70286	70282	0	0	0	0	0	0	3	3	3	3	55801	55798
GCF_002466645.1	GCF_002466645	1	7148	3	3	3	3	42597	42594	0	0	0	0	0	0	2	2	2	2	28112	28110
GCF_002466665.1	GCF_002466665	1	7149	3	3	3	3	92782	92779	1	1	1	1	38076	38075	3	3	3	3	92782	92779
GCF_002466675.1	GCF_002466675	1	7150	2	2	2	2	29826	29824	0	0	0	0	0	0	2	2	2	2	29826	29824
GCF_002466695.1	GCF_002466695	1	7151	5	5	5	5	122505	122500	1	1	1	1	6933	6932	5	5	5	5	122505	122500
GCF_002466715.1	GCF_002466715	1	7152	6	6	6	6	112869	112863	0	0	0	0	0	0	5	5	5	5	103632	103627
GCF_002466745.1	GCF_002466745	1	7153	6	6	6	6	138099	138093	0	0	0	0	0	0	5	5	5	5	112058	112053
GCF_002466755.1	GCF_002466755	1	7154	4	4	4	4	102830	102826	0	0	0	0	0	0	4	4	4	4	102830	102826
GCF_002466775.1	GCF_002466775	1	7155	4	4	4	4	131606	131602	1	1	1	1	6982	6981	2	2	2	2	123371	123369
GCF_002466805.1	GCF_002466805	1	7156	4	4	4	4	118696	118692	0	0	0	0	0	0	3	3	3	3	94469	94466
GCF_002466825.1	GCF_002466825	1	7157	6	6	6	5	108426	108420	0	0	0	0	0	0	6	6	6	5	108426	108420
GCF_002466835.1	GCF_002466835	1	7158	3	3	3	3	76032	76029	0	0	0	0	0	0	3	3	3	3	76032	76029
GCF_002466865.1	GCF_002466865	1	7159	4	4	4	4	99520	99516	0	0	0	0	0	0	3	3	3	3	79914	79911
GCF_002466885.1	GCF_002466885	1	7160	2	2	2	2	20741	20739	0	0	0	0	0	0	1	1	1	1	15365	15364
GCF_002466895.1	GCF_002466895	1	7161	2	2	2	2	32425	32423	0	0	0	0	0	0	1	1	1	1	28702	28701
GCF_002466925.1	GCF_002466925	1	7162	5	5	5	5	91316	91311	0	0	0	0	0	0	3	3	3	3	73437	73434
GCF_002466935.1	GCF_002466935	1	7163	8	8	8	7	152570	152562	0	0	0	0	0	0	5	5	5	5	108040	108035
GCF_002466955.1	GCF_002466955	1	7164	4	4	4	4	56482	56478	0	0	0	0	0	0	4	4	4	4	56482	56478
GCF_002466975.1	GCF_002466975	1	7165	4	4	4	4	82073	82069	1	1	1	1	30239	30238	3	3	3	3	67614	67611
GCF_002466985.1	GCF_002466985	1	7166	2	2	2	2	19480	19478	0	0	0	0	0	0	1	1	1	1	6539	6538
GCF_002467025.1	GCF_002467025	1	7167	2	2	2	2	27886	27884	0	0	0	0	0	0	2	2	2	2	27886	27884
GCF_002467035.1	GCF_002467035	1	7168	3	3	3	3	37013	37010	0	0	0	0	0	0	2	2	2	2	33971	33969
GCF_002467065.1	GCF_002467065	1	7169	2	2	2	2	35983	35981	0	0	0	0	0	0	2	2	2	2	35983	35981
GCF_002467075.1	GCF_002467075	1	7170	4	4	4	4	74087	74083	0	0	0	0	0	0	4	4	4	4	74087	74083
GCF_002467105.1	GCF_002467105	1	7171	2	2	2	2	52377	52375	0	0	0	0	0	0	2	2	2	2	52377	52375
GCF_002467115.1	GCF_002467115	1	7172	2	2	2	2	29826	29824	0	0	0	0	0	0	2	2	2	2	29826	29824
GCF_002467125.1	GCF_002467125	1	7173	3	3	3	2	45214	45211	1	1	1	1	21127	21126	3	3	3	2	45214	45211
GCF_002467135.1	GCF_002467135	1	7174	2	2	2	2	29826	29824	0	0	0	0	0	0	2	2	2	2	29826	29824
GCF_002467185.1	GCF_002467185	1	7175	4	4	4	4	34178	34174	0	0	0	0	0	0	2	2	2	2	28586	28584
GCF_002467195.1	GCF_002467195	1	7176	5	5	5	5	130640	130635	0	0	0	0	0	0	5	5	5	5	130640	130635
GCF_002467205.1	GCF_002467205	1	7177	6	6	6	6	126823	126817	0	0	0	0	0	0	6	6	6	6	126823	126817
GCF_002467245.1	GCF_002467245	1	7178	6	6	6	6	108379	108373	0	0	0	0	0	0	5	5	5	5	101029	101024
GCF_002467255.1	GCF_002467255	1	7179	4	4	4	4	91835	91831	0	0	0	0	0	0	4	4	4	4	91835	91831
GCF_002467275.1	GCF_002467275	1	7180	3	3	3	3	82624	82621	0	0	0	0	0	0	3	3	3	3	82624	82621
GCF_002467285.1	GCF_002467285	1	7181	7	7	7	7	205323	205316	0	0	0	0	0	0	7	7	7	7	205323	205316
GCF_002467325.1	GCF_002467325	1	7182	5	5	5	4	105289	105284	0	0	0	0	0	0	4	4	4	3	93429	93425
GCF_002467335.1	GCF_002467335	1	7183	4	4	4	4	58245	58241	0	0	0	0	0	0	3	3	3	3	46960	46957
GCF_002467345.1	GCF_002467345	1	7184	5	5	5	5	93593	93588	0	0	0	0	0	0	4	4	4	4	86245	86241
GCF_002467385.1	GCF_002467385	1	7185	5	5	5	5	43144	43139	0	0	0	0	0	0	4	4	4	4	38223	38219
GCF_002467405.1	GCF_002467405	1	7186	6	6	6	6	155492	155486	0	0	0	0	0	0	6	6	6	6	155492	155486
GCF_002467415.1	GCF_002467415	1	7187	5	5	5	4	111751	111746	0	0	0	0	0	0	5	5	5	4	111751	111746
GCF_002467445.1	GCF_002467445	1	7188	2	2	2	2	63455	63453	0	0	0	0	0	0	2	2	2	2	63455	63453
GCF_002467465.1	GCF_002467465	1	7189	6	6	6	6	103335	103329	0	0	0	0	0	0	5	5	5	5	86065	86060
GCF_002467475.1	GCF_002467475	1	7190	7	7	7	7	106725	106718	1	1	1	1	11033	11032	5	5	5	5	75883	75878
GCF_002467485.1	GCF_002467485	1	7191	3	3	3	3	62832	62829	0	0	0	0	0	0	2	2	2	2	54148	54146
GCF_002467525.1	GCF_002467525	1	7192	7	7	7	7	123213	123206	0	0	0	0	0	0	6	6	6	6	121538	121532
GCF_002467545.1	GCF_002467545	1	7193	5	5	5	5	120803	120798	0	0	0	0	0	0	5	5	5	5	120803	120798
GCF_002467555.1	GCF_002467555	1	7194	5	5	5	5	95734	95729	0	0	0	0	0	0	5	5	5	5	95734	95729
GCF_002467565.1	GCF_002467565	1	7195	5	5	5	5	86218	86213	0	0	0	0	0	0	3	3	3	3	61330	61327
GCF_002467595.1	GCF_002467595	1	7196	2	2	2	2	58889	58887	0	0	0	0	0	0	2	2	2	2	58889	58887
GCF_002467625.1	GCF_002467625	1	7197	8	8	8	7	113359	113351	1	1	1	1	5689	5688	6	6	6	5	105202	105196
GCF_002467635.1	GCF_002467635	1	7198	8	8	8	8	147248	147240	1	1	1	1	7886	7885	7	7	7	7	139362	139355
GCF_002467655.1	GCF_002467655	1	7199	6	6	6	6	114734	114728	0	0	0	0	0	0	5	5	5	5	105881	105876
GCF_002467665.1	GCF_002467665	1	7200	5	5	5	5	111865	111860	0	0	0	0	0	0	4	4	4	4	90077	90073
GCF_002467705.1	GCF_002467705	1	7201	6	6	6	6	102129	102123	0	0	0	0	0	0	5	5	5	5	100680	100675
GCF_002467725.1	GCF_002467725	1	7202	4	4	4	4	72028	72024	0	0	0	0	0	0	4	4	4	4	72028	72024
GCF_002467735.1	GCF_002467735	1	7203	5	5	5	5	84650	84645	0	0	0	0	0	0	5	5	5	5	84650	84645
GCF_002467745.1	GCF_002467745	1	7204	4	4	4	4	83401	83397	0	0	0	0	0	0	4	4	4	4	83401	83397
GCF_002467765.1	GCF_002467765	1	7205	4	4	4	4	41341	41337	0	0	0	0	0	0	3	3	3	3	38336	38333
GCF_002467805.1	GCF_002467805	1	7206	2	2	2	2	34457	34455	0	0	0	0	0	0	1	1	1	1	12826	12825
GCF_002467815.1	GCF_002467815	1	7207	8	8	8	7	190458	190450	0	0	0	0	0	0	6	6	6	5	156766	156760
GCF_002467845.1	GCF_002467845	1	7208	3	3	3	3	77151	77148	0	0	0	0	0	0	3	3	3	3	77151	77148
GCF_002467885.1	GCF_002467885	1	7209	2	2	2	2	76080	76078	0	0	0	0	0	0	2	2	2	2	76080	76078
GCF_002467895.1	GCF_002467895	1	7210	6	6	6	6	140872	140866	0	0	0	0	0	0	6	6	6	6	140872	140866
GCF_002467915.1	GCF_002467915	1	7211	4	4	4	4	76625	76621	0	0	0	0	0	0	4	4	4	4	76625	76621
GCF_002467925.1	GCF_002467925	1	7212	4	4	4	4	62277	62273	0	0	0	0	0	0	3	3	3	3	57749	57746
GCF_002467955.1	GCF_002467955	1	7213	3	3	3	3	72734	72731	0	0	0	0	0	0	3	3	3	3	72734	72731
GCF_002467985.1	GCF_002467985	1	7214	4	4	4	4	58561	58557	0	0	0	0	0	0	4	4	4	4	58561	58557
GCF_002467995.1	GCF_002467995	1	7215	1	1	1	1	14645	14644	0	0	0	0	0	0	0	0	0	0	0	0
GCF_002468025.1	GCF_002468025	1	7216	4	4	4	4	135195	135191	1	1	1	1	37918	37917	4	4	4	4	135195	135191
GCF_002468035.1	GCF_002468035	1	7217	4	4	4	4	128897	128893	1	1	1	1	37918	37917	4	4	4	4	128897	128893
GCF_002468055.1	GCF_002468055	1	7218	3	3	3	3	59939	59936	1	1	1	1	13817	13816	2	2	2	2	49302	49300
GCF_002468085.1	GCF_002468085	1	7219	5	5	5	5	37495	37490	0	0	0	0	0	0	4	4	4	4	32970	32966
GCF_002468095.1	GCF_002468095	1	7220	5	5	5	5	97957	97952	0	0	0	0	0	0	4	4	4	4	79663	79659
GCF_002468115.1	GCF_002468115	1	7221	2	2	2	2	41966	41964	0	0	0	0	0	0	2	2	2	2	41966	41964
GCF_002468125.1	GCF_002468125	1	7222	6	6	6	6	166455	166449	0	0	0	0	0	0	4	4	4	4	147110	147106
GCF_002468165.1	GCF_002468165	1	7223	7	7	7	7	179673	179666	1	1	1	1	9192	9191	7	7	7	7	179673	179666
GCF_002468175.1	GCF_002468175	1	7224	2	2	2	2	39773	39771	0	0	0	0	0	0	2	2	2	2	39773	39771
GCF_002468185.1	GCF_002468185	1	7225	4	4	4	4	79681	79677	1	1	1	1	20097	20096	4	4	4	4	79681	79677
GCF_002468195.1	GCF_002468195	1	7226	2	2	2	2	20785	20783	0	0	0	0	0	0	1	1	1	1	14375	14374
GCF_002468245.1	GCF_002468245	1	7227	4	4	4	4	72987	72983	0	0	0	0	0	0	3	3	3	3	61325	61322
GCF_002468255.1	GCF_002468255	1	7228	5	5	5	5	95933	95928	0	0	0	0	0	0	5	5	5	5	95933	95928
GCF_002468265.1	GCF_002468265	1	7229	6	6	6	6	123842	123836	0	0	0	0	0	0	5	5	5	5	111560	111555
GCF_002468275.1	GCF_002468275	1	7230	3	3	3	3	126857	126854	0	0	0	0	0	0	3	3	3	3	126857	126854
GCF_002468325.1	GCF_002468325	1	7231	3	3	3	3	66706	66703	0	0	0	0	0	0	2	2	2	2	49138	49136
GCF_002468335.1	GCF_002468335	1	7232	5	5	5	4	114508	114503	0	0	0	0	0	0	4	4	4	3	93246	93242
GCF_002468345.1	GCF_002468345	1	7233	6	6	6	6	198960	198954	0	0	0	0	0	0	6	6	6	6	198960	198954
GCF_002468365.1	GCF_002468365	1	7234	3	3	3	2	116738	116735	0	0	0	0	0	0	3	3	3	2	116738	116735
GCF_002468405.1	GCF_002468405	1	7235	7	7	7	5	108481	108474	0	0	0	0	0	0	7	7	7	5	108481	108474
GCF_002468415.1	GCF_002468415	1	7236	2	2	2	2	78385	78383	0	0	0	0	0	0	2	2	2	2	78385	78383
GCF_002468425.1	GCF_002468425	1	7237	5	5	5	5	138471	138466	1	1	1	1	11516	11515	4	4	4	4	126955	126951
GCF_002468435.1	GCF_002468435	1	7238	3	3	3	3	93733	93730	0	0	0	0	0	0	3	3	3	3	93733	93730
GCF_002468485.1	GCF_002468485	1	7239	8	8	8	8	213935	213927	1	1	1	1	92388	92387	7	7	7	7	210027	210020
GCF_002468495.1	GCF_002468495	1	7240	7	7	7	6	189511	189504	0	0	0	0	0	0	5	5	5	5	174804	174799
GCF_002468505.1	GCF_002468505	1	7241	2	2	2	2	40577	40575	0	0	0	0	0	0	1	1	1	1	33681	33680
GCF_002468525.1	GCF_002468525	1	7242	5	5	5	5	68564	68559	0	0	0	0	0	0	3	3	3	3	43812	43809
GCF_002468565.1	GCF_002468565	1	7243	4	4	4	4	107410	107406	0	0	0	0	0	0	4	4	4	4	107410	107406
GCF_002468575.1	GCF_002468575	1	7244	4	4	4	4	108763	108759	0	0	0	0	0	0	4	4	4	4	108763	108759
GCF_002468585.1	GCF_002468585	1	7245	3	3	3	3	94736	94733	0	0	0	0	0	0	3	3	3	3	94736	94733
GCF_002468615.1	GCF_002468615	1	7246	4	4	4	4	118976	118972	0	0	0	0	0	0	3	3	3	3	103223	103220
GCF_002468645.1	GCF_002468645	1	7247	6	6	6	6	115212	115206	0	0	0	0	0	0	3	3	3	3	69056	69053
GCF_002468655.1	GCF_002468655	1	7248	2	2	2	2	52425	52423	0	0	0	0	0	0	2	2	2	2	52425	52423
GCF_002468665.1	GCF_002468665	1	7249	3	3	3	3	85919	85916	0	0	0	0	0	0	3	3	3	3	85919	85916
GCF_002468685.1	GCF_002468685	1	7250	5	5	5	4	135682	135677	0	0	0	0	0	0	5	5	5	4	135682	135677
GCF_002468725.1	GCF_002468725	1	7251	3	3	3	3	122516	122513	0	0	0	0	0	0	3	3	3	3	122516	122513
GCF_002468745.1	GCF_002468745	1	7252	6	6	6	6	132192	132186	0	0	0	0	0	0	5	5	5	5	117863	117858
GCF_002468755.1	GCF_002468755	1	7253	2	2	2	2	40885	40883	0	0	0	0	0	0	2	2	2	2	40885	40883
GCF_002468765.1	GCF_002468765	1	7254	7	7	7	7	153058	153051	0	0	0	0	0	0	7	7	7	7	153058	153051
GCF_002468805.1	GCF_002468805	1	7255	5	5	5	5	132913	132908	0	0	0	0	0	0	3	3	3	3	74536	74533
GCF_002468815.1	GCF_002468815	1	7256	4	4	4	3	84188	84184	0	0	0	0	0	0	3	3	3	2	81906	81903
GCF_002468825.1	GCF_002468825	1	7257	5	5	5	5	106358	106353	2	2	2	2	34339	34337	5	5	5	5	106358	106353
GCF_002468835.1	GCF_002468835	1	7258	11	11	11	11	157512	157501	0	0	0	0	0	0	8	8	8	8	146200	146192
GCF_002468885.1	GCF_002468885	1	7259	7	7	7	7	99606	99599	1	1	1	1	13442	13441	6	6	6	6	95080	95074
GCF_002468895.1	GCF_002468895	1	7260	2	2	2	2	22794	22792	0	0	0	0	0	0	2	2	2	2	22794	22792
GCF_002468915.1	GCF_002468915	1	7261	5	5	5	5	120036	120031	1	1	1	1	13435	13434	5	5	5	5	120036	120031
GCF_002468935.1	GCF_002468935	1	7262	6	6	6	6	130494	130488	0	0	0	0	0	0	5	5	5	5	126076	126071
