ecor_strain,assembly_accession,gca_accession,wgs_master,prophage_id,source_contig,start,end,length,transposable,taxonomy
ECOR-40,GCF_003333845.1,GCA_003333845.1,QOXZ00000000.1,GCF_003333845.1_prophage_4,NZ_QOXZ01000040.1,22875,40127,17253,0.0,Myoviridae
ECOR-40,GCF_003333845.1,GCA_003333845.1,QOXZ00000000.1,GCF_003333845.1_prophage_5,NZ_QOXZ01000041.1,1445,17238,15794,0.0,Podoviridae
ECOR-40,GCF_003333845.1,GCA_003333845.1,QOXZ00000000.1,GCF_003333845.1_prophage_6,NZ_QOXZ01000044.1,3,30549,30547,0.0,Myoviridae
ECOR-40,GCF_003333845.1,GCA_003333845.1,QOXZ00000000.1,GCF_003333845.1_prophage_7,NZ_QOXZ01000045.1,20493,30912,10420,0.0,Myoviridae
ECOR-40,GCF_003333845.1,GCA_003333845.1,QOXZ00000000.1,GCF_003333845.1_prophage_8,NZ_QOXZ01000049.1,3,24236,24234,0.0,Siphoviridae
ECOR-41,GCF_003333795.1,GCA_003333795.1,QOYA00000000.1,GCF_003333795.1_prophage_1,NZ_QOYA01000001.1,297936,335486,37551,0.0,Myoviridae
ECOR-41,GCF_003333795.1,GCA_003333795.1,QOYA00000000.1,GCF_003333795.1_prophage_4,NZ_QOYA01000002.1,718,8333,7616,0.0,Podoviridae
ECOR-41,GCF_003333795.1,GCA_003333795.1,QOYA00000000.1,GCF_003333795.1_prophage_5,NZ_QOYA01000002.1,13345,29928,16584,0.0,Siphoviridae
ECOR-41,GCF_003333795.1,GCA_003333795.1,QOYA00000000.1,GCF_003333795.1_prophage_2,NZ_QOYA01000026.1,29295,33279,3985,0.0,Unknown
ECOR-41,GCF_003333795.1,GCA_003333795.1,QOYA00000000.1,GCF_003333795.1_prophage_3,NZ_QOYA01000026.1,49173,62498,13326,0.0,Myoviridae
ECOR-41,GCF_003333795.1,GCA_003333795.1,QOYA00000000.1,GCF_003333795.1_prophage_6,NZ_QOYA01000037.1,24976,41778,16803,0.0,Myoviridae
ECOR-41,GCF_003333795.1,GCA_003333795.1,QOYA00000000.1,GCF_003333795.1_prophage_7,NZ_QOYA01000040.1,678,17929,17252,0.0,Myoviridae
ECOR-41,GCF_003333795.1,GCA_003333795.1,QOYA00000000.1,GCF_003333795.1_prophage_8,NZ_QOYA01000046.1,2386,17488,15103,0.0,Myoviridae
ECOR-42,GCF_003333785.1,GCA_003333785.1,QOYB00000000.1,GCF_003333785.1_prophage_2,NZ_QOYB01000003.1,45004,84222,39219,0.0,Myoviridae
ECOR-42,GCF_003333785.1,GCA_003333785.1,QOYB00000000.1,GCF_003333785.1_prophage_3,NZ_QOYB01000003.1,384765,394655,9891,0.0,Siphoviridae
ECOR-42,GCF_003333785.1,GCA_003333785.1,QOYB00000000.1,GCF_003333785.1_prophage_4,NZ_QOYB01000004.1,62269,105866,43598,0.0,Siphoviridae
ECOR-42,GCF_003333785.1,GCA_003333785.1,QOYB00000000.1,GCF_003333785.1_prophage_1,NZ_QOYB01000016.1,162,66706,66545,0.0,Myoviridae
ECOR-43,GCF_003333775.1,GCA_003333775.1,QOYC00000000.1,GCF_003333775.1_prophage_6,NZ_QOYC01000002.1,253481,259897,6417,0.0,Unknown
ECOR-43,GCF_003333775.1,GCA_003333775.1,QOYC00000000.1,GCF_003333775.1_prophage_1,NZ_QOYC01000011.1,113061,128885,15825,0.0,Siphoviridae / Podoviridae
ECOR-43,GCF_003333775.1,GCA_003333775.1,QOYC00000000.1,GCF_003333775.1_prophage_2,NZ_QOYC01000012.1,78896,89064,10169,0.0,Siphoviridae
ECOR-43,GCF_003333775.1,GCA_003333775.1,QOYC00000000.1,GCF_003333775.1_prophage_3,NZ_QOYC01000012.1,102369,121484,19116,0.0,Myoviridae / Podoviridae
ECOR-43,GCF_003333775.1,GCA_003333775.1,QOYC00000000.1,GCF_003333775.1_prophage_4,NZ_QOYC01000013.1,27137,36553,9417,0.0,Siphoviridae
ECOR-43,GCF_003333775.1,GCA_003333775.1,QOYC00000000.1,GCF_003333775.1_prophage_5,NZ_QOYC01000017.1,4181,31334,27154,0.0,Myoviridae
ECOR-43,GCF_003333775.1,GCA_003333775.1,QOYC00000000.1,GCF_003333775.1_prophage_7,NZ_QOYC01000041.1,18214,33720,15507,0.0,Myoviridae / Podoviridae
ECOR-44,GCF_003333765.1,GCA_003333765.1,QOYD00000000.1,GCF_003333765.1_prophage_2,NZ_QOYD01000001.1,254798,292399,37602,0.0,Myoviridae
ECOR-44,GCF_003333765.1,GCA_003333765.1,QOYD00000000.1,GCF_003333765.1_prophage_6,NZ_QOYD01000002.1,366,25589,25224,0.0,Myoviridae
ECOR-44,GCF_003333765.1,GCA_003333765.1,QOYD00000000.1,GCF_003333765.1_prophage_1,NZ_QOYD01000019.1,91532,105786,14255,0.0,Podoviridae
ECOR-44,GCF_003333765.1,GCA_003333765.1,QOYD00000000.1,GCF_003333765.1_prophage_3,NZ_QOYD01000023.1,3,22764,22762,0.0,Myoviridae
ECOR-44,GCF_003333765.1,GCA_003333765.1,QOYD00000000.1,GCF_003333765.1_prophage_4,NZ_QOYD01000027.1,1474,7776,6303,0.0,Myoviridae
ECOR-44,GCF_003333765.1,GCA_003333765.1,QOYD00000000.1,GCF_003333765.1_prophage_5,NZ_QOYD01000028.1,1209,6557,5349,1.0,Unknown
ECOR-44,GCF_003333765.1,GCA_003333765.1,QOYD00000000.1,GCF_003333765.1_prophage_7,NZ_QOYD01000030.1,54940,57693,2754,0.0,Unknown
ECOR-45,GCF_003333735.1,GCA_003333735.1,QOYE00000000.1,GCF_003333735.1_prophage_1,NZ_QOYE01000002.1,99451,133763,34313,0.0,Myoviridae
ECOR-46,GCF_003334585.1,GCA_003334585.1,QOYF00000000.1,GCF_003334585.1_prophage_7,NZ_QOYF01000007.1,299169,336923,37755,0.0,Myoviridae
ECOR-46,GCF_003334585.1,GCA_003334585.1,QOYF00000000.1,GCF_003334585.1_prophage_1,NZ_QOYF01000018.1,1012,15192,14181,0.0,Myoviridae / Podoviridae
ECOR-46,GCF_003334585.1,GCA_003334585.1,QOYF00000000.1,GCF_003334585.1_prophage_2,NZ_QOYF01000026.1,128819,166761,37943,0.0,Myoviridae
ECOR-46,GCF_003334585.1,GCA_003334585.1,QOYF00000000.1,GCF_003334585.1_prophage_3,NZ_QOYF01000035.1,2655,23598,20944,0.0,Siphoviridae
ECOR-46,GCF_003334585.1,GCA_003334585.1,QOYF00000000.1,GCF_003334585.1_prophage_4,NZ_QOYF01000038.1,645,18031,17387,0.0,Siphoviridae / Podoviridae
ECOR-46,GCF_003334585.1,GCA_003334585.1,QOYF00000000.1,GCF_003334585.1_prophage_5,NZ_QOYF01000043.1,4142,24293,20152,0.0,Siphoviridae
ECOR-46,GCF_003334585.1,GCA_003334585.1,QOYF00000000.1,GCF_003334585.1_prophage_6,NZ_QOYF01000055.1,138558,164146,25589,0.0,Myoviridae
ECOR-47,GCF_003333715.1,GCA_003333715.1,QOYG00000000.1,GCF_003333715.1_prophage_3,NZ_QOYG01000003.1,33150,59810,26661,0.0,Myoviridae / Podoviridae
ECOR-47,GCF_003333715.1,GCA_003333715.1,QOYG00000000.1,GCF_003333715.1_prophage_4,NZ_QOYG01000008.1,59981,95319,35339,0.0,Myoviridae
ECOR-47,GCF_003333715.1,GCA_003333715.1,QOYG00000000.1,GCF_003333715.1_prophage_1,NZ_QOYG01000016.1,28025,67681,39657,0.0,Myoviridae
ECOR-47,GCF_003333715.1,GCA_003333715.1,QOYG00000000.1,GCF_003333715.1_prophage_2,NZ_QOYG01000018.1,76,31540,31465,0.0,Siphoviridae
ECOR-48,GCF_003334535.1,GCA_003334535.1,QOYH00000000.1,GCF_003334535.1_prophage_5,NZ_QOYH01000004.1,36,27396,27361,0.0,Siphoviridae
ECOR-48,GCF_003334535.1,GCA_003334535.1,QOYH00000000.1,GCF_003334535.1_prophage_6,NZ_QOYH01000004.1,179273,212770,33498,0.0,Myoviridae
ECOR-48,GCF_003334535.1,GCA_003334535.1,QOYH00000000.1,GCF_003334535.1_prophage_1,NZ_QOYH01000010.1,65467,89286,23820,0.0,Myoviridae
ECOR-48,GCF_003334535.1,GCA_003334535.1,QOYH00000000.1,GCF_003334535.1_prophage_2,NZ_QOYH01000012.1,6784,39902,33119,0.0,Podoviridae
ECOR-48,GCF_003334535.1,GCA_003334535.1,QOYH00000000.1,GCF_003334535.1_prophage_3,NZ_QOYH01000019.1,1,33354,33354,1.0,Myoviridae
ECOR-48,GCF_003334535.1,GCA_003334535.1,QOYH00000000.1,GCF_003334535.1_prophage_4,NZ_QOYH01000038.1,629,22046,21418,0.0,Siphoviridae
ECOR-49,GCF_003333685.1,GCA_003333685.1,QOYI00000000.1,GCF_003333685.1_prophage_1,NZ_QOYI01000073.1,58794,71905,13112,0.0,Myoviridae
ECOR-49,GCF_003333685.1,GCA_003333685.1,QOYI00000000.1,GCF_003333685.1_prophage_2,NZ_QOYI01000081.1,22151,38603,16453,0.0,Unknown
ECOR-49,GCF_003333685.1,GCA_003333685.1,QOYI00000000.1,GCF_003333685.1_prophage_3,NZ_QOYI01000092.1,93685,124711,31027,0.0,Siphoviridae
ECOR-50,GCF_003333675.1,GCA_003333675.1,QOYJ00000000.1,GCF_003333675.1_prophage_5,NZ_QOYJ01000001.1,184,24144,23961,0.0,Myoviridae
ECOR-50,GCF_003333675.1,GCA_003333675.1,QOYJ00000000.1,GCF_003333675.1_prophage_8,NZ_QOYJ01000008.1,104513,130786,26274,0.0,Podoviridae
ECOR-50,GCF_003333675.1,GCA_003333675.1,QOYJ00000000.1,GCF_003333675.1_prophage_1,NZ_QOYJ01000011.1,4137,35161,31025,0.0,Siphoviridae
ECOR-50,GCF_003333675.1,GCA_003333675.1,QOYJ00000000.1,GCF_003333675.1_prophage_2,NZ_QOYJ01000012.1,12198,18810,6613,0.0,Unknown
ECOR-50,GCF_003333675.1,GCA_003333675.1,QOYJ00000000.1,GCF_003333675.1_prophage_3,NZ_QOYJ01000014.1,11128,48465,37338,0.0,Myoviridae
ECOR-50,GCF_003333675.1,GCA_003333675.1,QOYJ00000000.1,GCF_003333675.1_prophage_4,NZ_QOYJ01000015.1,85915,91460,5546,0.0,Unknown
ECOR-50,GCF_003333675.1,GCA_003333675.1,QOYJ00000000.1,GCF_003333675.1_prophage_6,NZ_QOYJ01000024.1,48250,59785,11536,0.0,Myoviridae
ECOR-50,GCF_003333675.1,GCA_003333675.1,QOYJ00000000.1,GCF_003333675.1_prophage_7,NZ_QOYJ01000028.1,39553,57687,18135,0.0,Unknown
ECOR-51,GCF_003334615.1,GCA_003334615.1,QOYK00000000.1,GCF_003334615.1_prophage_2,NZ_QOYK01000008.1,95775,100256,4482,0.0,Unknown
ECOR-51,GCF_003334615.1,GCA_003334615.1,QOYK00000000.1,GCF_003334615.1_prophage_3,NZ_QOYK01000008.1,105237,107534,2298,0.0,Unknown
ECOR-51,GCF_003334615.1,GCA_003334615.1,QOYK00000000.1,GCF_003334615.1_prophage_4,NZ_QOYK01000008.1,114530,140993,26464,0.0,Siphoviridae
ECOR-51,GCF_003334615.1,GCA_003334615.1,QOYK00000000.1,GCF_003334615.1_prophage_1,NZ_QOYK01000015.1,2495,25896,23402,0.0,Unknown
ECOR-52,GCF_003334495.1,GCA_003334495.1,QOYL00000000.1,GCF_003334495.1_prophage_5,NZ_QOYL01000008.1,370,17682,17313,0.0,Siphoviridae / Podoviridae / Bicaudaviridae
ECOR-52,GCF_003334495.1,GCA_003334495.1,QOYL00000000.1,GCF_003334495.1_prophage_1,NZ_QOYL01000012.1,101804,131087,29284,0.0,Podoviridae
ECOR-52,GCF_003334495.1,GCA_003334495.1,QOYL00000000.1,GCF_003334495.1_prophage_2,NZ_QOYL01000013.1,100461,119278,18818,0.0,Myoviridae
ECOR-52,GCF_003334495.1,GCA_003334495.1,QOYL00000000.1,GCF_003334495.1_prophage_3,NZ_QOYL01000026.1,562,16405,15844,0.0,Myoviridae / Siphoviridae
ECOR-52,GCF_003334495.1,GCA_003334495.1,QOYL00000000.1,GCF_003334495.1_prophage_4,NZ_QOYL01000033.1,2669,20078,17410,0.0,Siphoviridae
ECOR-53,GCF_003333655.1,GCA_003333655.1,QOYM00000000.1,GCF_003333655.1_prophage_1,NZ_QOYM01000017.1,58073,89633,31561,0.0,Myoviridae
ECOR-53,GCF_003333655.1,GCA_003333655.1,QOYM00000000.1,GCF_003333655.1_prophage_2,NZ_QOYM01000020.1,3,33125,33123,0.0,Siphoviridae
ECOR-54,GCF_003333615.1,GCA_003333615.1,QOYN00000000.1,GCF_003333615.1_prophage_3,NZ_QOYN01000002.1,3,35078,35076,0.0,Siphoviridae
ECOR-54,GCF_003333615.1,GCA_003333615.1,QOYN00000000.1,GCF_003333615.1_prophage_4,NZ_QOYN01000009.1,1491,17319,15829,0.0,Siphoviridae / Podoviridae / Bicaudaviridae
ECOR-54,GCF_003333615.1,GCA_003333615.1,QOYN00000000.1,GCF_003333615.1_prophage_1,NZ_QOYN01000014.1,798,21658,20861,0.0,Podoviridae
ECOR-54,GCF_003333615.1,GCA_003333615.1,QOYN00000000.1,GCF_003333615.1_prophage_2,NZ_QOYN01000026.1,2669,20078,17410,0.0,Siphoviridae
ECOR-55,GCF_003333605.1,GCA_003333605.1,QOYO00000000.1,GCF_003333605.1_prophage_3,NZ_QOYO01000007.1,217038,221519,4482,0.0,Unknown
ECOR-55,GCF_003333605.1,GCA_003333605.1,QOYO00000000.1,GCF_003333605.1_prophage_4,NZ_QOYO01000007.1,235535,261714,26180,0.0,Siphoviridae
ECOR-55,GCF_003333605.1,GCA_003333605.1,QOYO00000000.1,GCF_003333605.1_prophage_1,NZ_QOYO01000018.1,3,30759,30757,0.0,Siphoviridae
ECOR-55,GCF_003333605.1,GCA_003333605.1,QOYO00000000.1,GCF_003333605.1_prophage_2,NZ_QOYO01000022.1,1,20079,20079,0.0,Siphoviridae
ECOR-56,GCF_003334485.1,GCA_003334485.1,QOYP00000000.1,GCF_003334485.1_prophage_1,NZ_QOYP01000021.1,3560,42195,38636,0.0,Siphoviridae
ECOR-57,GCF_003334555.1,GCA_003334555.1,QOYQ00000000.1,GCF_003334555.1_prophage_1,NZ_QOYQ01000018.1,101009,141550,40542,0.0,Podoviridae
ECOR-57,GCF_003334555.1,GCA_003334555.1,QOYQ00000000.1,GCF_003334555.1_prophage_2,NZ_QOYQ01000020.1,54643,59834,5192,0.0,Unknown
ECOR-57,GCF_003334555.1,GCA_003334555.1,QOYQ00000000.1,GCF_003334555.1_prophage_3,NZ_QOYQ01000028.1,11850,28921,17072,0.0,Podoviridae
ECOR-57,GCF_003334555.1,GCA_003334555.1,QOYQ00000000.1,GCF_003334555.1_prophage_4,NZ_QOYQ01000030.1,76040,96661,20622,0.0,Podoviridae
ECOR-57,GCF_003334555.1,GCA_003334555.1,QOYQ00000000.1,GCF_003334555.1_prophage_5,NZ_QOYQ01000034.1,3437,11988,8552,0.0,Siphoviridae
ECOR-57,GCF_003334555.1,GCA_003334555.1,QOYQ00000000.1,GCF_003334555.1_prophage_6,NZ_QOYQ01000047.1,4600,16769,12170,0.0,Unknown
ECOR-58,GCF_003333645.1,GCA_003333645.1,QOYR00000000.1,GCF_003333645.1_prophage_1,NZ_QOYR01000001.1,87277,133596,46320,0.0,Siphoviridae
ECOR-58,GCF_003333645.1,GCA_003333645.1,QOYR00000000.1,GCF_003333645.1_prophage_4,NZ_QOYR01000005.1,84158,120151,35994,0.0,Myoviridae
ECOR-58,GCF_003333645.1,GCA_003333645.1,QOYR00000000.1,GCF_003333645.1_prophage_2,NZ_QOYR01000043.1,3,32704,32702,0.0,Siphoviridae
ECOR-58,GCF_003333645.1,GCA_003333645.1,QOYR00000000.1,GCF_003333645.1_prophage_3,NZ_QOYR01000046.1,37411,52366,14956,0.0,Myoviridae
ECOR-59,GCF_003335465.1,GCA_003335465.1,QOZF00000000.1,GCF_003335465.1_prophage_1,NZ_QOZF01000022.1,17133,46611,29479,0.0,Myoviridae
ECOR-59,GCF_003335465.1,GCA_003335465.1,QOZF00000000.1,GCF_003335465.1_prophage_2,NZ_QOZF01000049.1,56750,64578,7829,0.0,Myoviridae
ECOR-60,GCF_003333585.1,GCA_003333585.1,QOYS00000000.1,GCF_003333585.1_prophage_1,NZ_QOYS01000007.1,17116,64913,47798,0.0,Siphoviridae
ECOR-61,GCF_003333565.1,GCA_003333565.1,QOYT00000000.1,GCF_003333565.1_prophage_1,NZ_QOYT01000001.1,4171,8834,4664,0.0,Myoviridae
ECOR-61,GCF_003333565.1,GCA_003333565.1,QOYT00000000.1,GCF_003333565.1_prophage_4,NZ_QOYT01000008.1,2,22381,22380,0.0,Myoviridae / Siphoviridae
ECOR-61,GCF_003333565.1,GCA_003333565.1,QOYT00000000.1,GCF_003333565.1_prophage_2,NZ_QOYT01000028.1,70625,103051,32427,0.0,Myoviridae
ECOR-61,GCF_003333565.1,GCA_003333565.1,QOYT00000000.1,GCF_003333565.1_prophage_3,NZ_QOYT01000054.1,41036,51115,10080,0.0,Podoviridae
ECOR-62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,GCF_003333545.1_prophage_2,NZ_QOYU01000004.1,3752,13831,10080,0.0,Podoviridae
ECOR-62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,GCF_003333545.1_prophage_5,NZ_QOYU01000006.1,484,14508,14025,0.0,Podoviridae
ECOR-62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,GCF_003333545.1_prophage_6,NZ_QOYU01000007.1,15782,48208,32427,0.0,Myoviridae
ECOR-62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,GCF_003333545.1_prophage_1,NZ_QOYU01000047.1,18378,37200,18823,0.0,Unknown
ECOR-62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,GCF_003333545.1_prophage_3,NZ_QOYU01000058.1,2,22402,22401,0.0,Myoviridae / Siphoviridae
ECOR-62,GCF_003333545.1,GCA_003333545.1,QOYU00000000.1,GCF_003333545.1_prophage_4,NZ_QOYU01000065.1,1513,27225,25713,0.0,Podoviridae
ECOR-63,GCF_003333505.1,GCA_003333505.1,QOYV00000000.1,GCF_003333505.1_prophage_4,NZ_QOYV01000006.1,100480,145548,45069,0.0,Podoviridae
ECOR-63,GCF_003333505.1,GCA_003333505.1,QOYV00000000.1,GCF_003333505.1_prophage_1,NZ_QOYV01000015.1,1,21986,21986,0.0,Siphoviridae
ECOR-63,GCF_003333505.1,GCA_003333505.1,QOYV00000000.1,GCF_003333505.1_prophage_2,NZ_QOYV01000035.1,1489,14003,12515,0.0,Podoviridae
ECOR-63,GCF_003333505.1,GCA_003333505.1,QOYV00000000.1,GCF_003333505.1_prophage_3,NZ_QOYV01000041.1,17079,31608,14530,0.0,Myoviridae
ECOR-64,GCF_003334525.1,GCA_003334525.1,QOYW00000000.1,GCF_003334525.1_prophage_1,NZ_QOYW01000012.1,2100,14510,12411,0.0,Siphoviridae / Podoviridae
ECOR-64,GCF_003334525.1,GCA_003334525.1,QOYW00000000.1,GCF_003334525.1_prophage_2,NZ_QOYW01000014.1,13104,46203,33100,0.0,Myoviridae
ECOR-65,GCF_003333495.1,GCA_003333495.1,QOYX00000000.1,GCF_003333495.1_prophage_1,NZ_QOYX01000004.1,99673,150114,50442,0.0,Siphoviridae
ECOR-65,GCF_003333495.1,GCA_003333495.1,QOYX00000000.1,GCF_003333495.1_prophage_2,NZ_QOYX01000006.1,170729,206900,36172,0.0,Myoviridae
ECOR-65,GCF_003333495.1,GCA_003333495.1,QOYX00000000.1,GCF_003333495.1_prophage_3,NZ_QOYX01000008.1,27911,68281,40371,0.0,Myoviridae
ECOR-66,GCF_003333435.1,GCA_003333435.1,QOYY00000000.1,GCF_003333435.1_prophage_1,NZ_QOYY01000003.1,105701,141178,35478,0.0,Myoviridae
ECOR-66,GCF_003333435.1,GCA_003333435.1,QOYY00000000.1,GCF_003333435.1_prophage_2,NZ_QOYY01000004.1,101308,148794,47487,0.0,Siphoviridae
ECOR-67,GCF_003334465.1,GCA_003334465.1,QOYZ00000000.1,GCF_003334465.1_prophage_1,NZ_QOYZ01000014.1,32501,67129,34629,0.0,Myoviridae
ECOR-67,GCF_003334465.1,GCA_003334465.1,QOYZ00000000.1,GCF_003334465.1_prophage_2,NZ_QOYZ01000021.1,58572,91632,33061,0.0,Myoviridae
ECOR-67,GCF_003334465.1,GCA_003334465.1,QOYZ00000000.1,GCF_003334465.1_prophage_3,NZ_QOYZ01000026.1,96400,118370,21971,0.0,Myoviridae / Podoviridae
ECOR-67,GCF_003334465.1,GCA_003334465.1,QOYZ00000000.1,GCF_003334465.1_prophage_4,NZ_QOYZ01000031.1,69243,88229,18987,0.0,Siphoviridae
ECOR-68,GCF_003333425.1,GCA_003333425.1,QOZA00000000.1,GCF_003333425.1_prophage_1,NZ_QOZA01000001.1,189539,232069,42531,0.0,Myoviridae
ECOR-68,GCF_003333425.1,GCA_003333425.1,QOZA00000000.1,GCF_003333425.1_prophage_4,NZ_QOZA01000004.1,210012,252847,42836,0.0,Siphoviridae
ECOR-68,GCF_003333425.1,GCA_003333425.1,QOZA00000000.1,GCF_003333425.1_prophage_5,NZ_QOZA01000006.1,50222,82748,32527,0.0,Myoviridae
ECOR-68,GCF_003333425.1,GCA_003333425.1,QOZA00000000.1,GCF_003333425.1_prophage_2,NZ_QOZA01000022.1,61213,62382,1170,0.0,Unknown
ECOR-68,GCF_003333425.1,GCA_003333425.1,QOZA00000000.1,GCF_003333425.1_prophage_3,NZ_QOZA01000025.1,1,36385,36385,0.0,Myoviridae
ECOR-69,GCF_003334435.1,GCA_003334435.1,QOZB00000000.1,GCF_003334435.1_prophage_3,NZ_QOZB01000005.1,36710,48799,12090,0.0,Unknown
ECOR-69,GCF_003334435.1,GCA_003334435.1,QOZB00000000.1,GCF_003334435.1_prophage_1,NZ_QOZB01000022.1,8573,22644,14072,0.0,Myoviridae
ECOR-69,GCF_003334435.1,GCA_003334435.1,QOZB00000000.1,GCF_003334435.1_prophage_2,NZ_QOZB01000041.1,3,28167,28165,0.0,Myoviridae
ECOR-70,GCF_003333475.1,GCA_003333475.1,QOZC00000000.1,GCF_003333475.1_prophage_4,NZ_QOZC01000004.1,87668,122305,34638,0.0,Myoviridae
ECOR-70,GCF_003333475.1,GCA_003333475.1,QOZC00000000.1,GCF_003333475.1_prophage_1,NZ_QOZC01000013.1,96831,129508,32678,0.0,Siphoviridae
ECOR-70,GCF_003333475.1,GCA_003333475.1,QOZC00000000.1,GCF_003333475.1_prophage_2,NZ_QOZC01000025.1,1151,20823,19673,0.0,Podoviridae
ECOR-70,GCF_003333475.1,GCA_003333475.1,QOZC00000000.1,GCF_003333475.1_prophage_3,NZ_QOZC01000029.1,1,39146,39146,0.0,Siphoviridae
ECOR-71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,GCF_003333385.1_prophage_7,NZ_QOZD01000004.1,256470,258245,1776,0.0,Unknown
ECOR-71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,GCF_003333385.1_prophage_1,NZ_QOZD01000012.1,3,28547,28545,0.0,Myoviridae
ECOR-71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,GCF_003333385.1_prophage_2,NZ_QOZD01000015.1,1260,26413,25154,0.0,Siphoviridae
ECOR-71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,GCF_003333385.1_prophage_3,NZ_QOZD01000025.1,1306,18780,17475,0.0,Unknown
ECOR-71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,GCF_003333385.1_prophage_4,NZ_QOZD01000028.1,3509,45354,41846,0.0,Siphoviridae
ECOR-71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,GCF_003333385.1_prophage_5,NZ_QOZD01000030.1,41201,49047,7847,0.0,Unknown
ECOR-71,GCF_003333385.1,GCA_003333385.1,QOZD00000000.1,GCF_003333385.1_prophage_6,NZ_QOZD01000047.1,16720,27053,10334,0.0,Myoviridae / Podoviridae
ECOR-72,GCF_003334425.1,GCA_003334425.1,QOZE00000000.1,GCF_003334425.1_prophage_5,NZ_QOZE01000005.1,3186,13817,10632,0.0,Siphoviridae / Podoviridae
ECOR-72,GCF_003334425.1,GCA_003334425.1,QOZE00000000.1,GCF_003334425.1_prophage_6,NZ_QOZE01000007.1,206037,211692,5656,0.0,Myoviridae
ECOR-72,GCF_003334425.1,GCA_003334425.1,QOZE00000000.1,GCF_003334425.1_prophage_1,NZ_QOZE01000013.1,1,22749,22749,0.0,Myoviridae
ECOR-72,GCF_003334425.1,GCA_003334425.1,QOZE00000000.1,GCF_003334425.1_prophage_2,NZ_QOZE01000017.1,2744,17071,14328,0.0,Siphoviridae / Podoviridae
ECOR-72,GCF_003334425.1,GCA_003334425.1,QOZE00000000.1,GCF_003334425.1_prophage_3,NZ_QOZE01000021.1,858,20399,19542,0.0,Podoviridae
ECOR-72,GCF_003334425.1,GCA_003334425.1,QOZE00000000.1,GCF_003334425.1_prophage_4,NZ_QOZE01000031.1,1857,23982,22126,0.0,Siphoviridae
