sequence,cluster,genome
GCF_002223735.1_prophage_5,1,GCF_002223735.1
GCF_002223855.1_prophage_6,16,GCF_002223855.1
GCF_002223905.1_prophage_4,20,GCF_002223905.1
GCF_002223985.1_prophage_5,7,GCF_002223985.1
GCF_002225655.1_prophage_2,4,GCF_002225655.1
GCF_002225655.1_prophage_3,11,GCF_002225655.1
GCF_002225815.1_prophage_9,20,GCF_002225815.1
GCF_002225885.1_prophage_2,7,GCF_002225885.1
GCF_002226155.1_prophage_3,20,GCF_002226155.1
GCF_002226195.1_prophage_2,12,GCF_002226195.1
GCF_002226325.1_prophage_3,14,GCF_002226325.1
GCF_002226325.1_prophage_4,1,GCF_002226325.1
GCF_002226395.1_prophage_6,10,GCF_002226395.1
GCF_002226535.1_prophage_7,13,GCF_002226535.1
GCF_002226545.1_prophage_1,14,GCF_002226545.1
GCF_002226715.1_prophage_4,1,GCF_002226715.1
GCF_002226735.1_prophage_5,5,GCF_002226735.1
GCF_002226815.1_prophage_10,14,GCF_002226815.1
GCF_002226815.1_prophage_4,13,GCF_002226815.1
GCF_002226895.1_prophage_1,7,GCF_002226895.1
GCF_002226895.1_prophage_5,17,GCF_002226895.1
GCF_002226975.1_prophage_3,13,GCF_002226975.1
GCF_002227115.1_prophage_3,17,GCF_002227115.1
GCF_002227115.1_prophage_5,20,GCF_002227115.1
GCF_002227305.1_prophage_7,16,GCF_002227305.1
GCF_002227425.1_prophage_3,5,GCF_002227425.1
GCF_002227615.1_prophage_4,3,GCF_002227615.1
GCF_002227665.1_prophage_1,10,GCF_002227665.1
GCF_002227795.1_prophage_4,14,GCF_002227795.1
GCF_002227865.1_prophage_7,13,GCF_002227865.1
GCF_002227875.1_prophage_1,15,GCF_002227875.1
GCF_002228375.1_prophage_1,7,GCF_002228375.1
GCF_002228395.1_prophage_10,3,GCF_002228395.1
GCF_002228395.1_prophage_3,20,GCF_002228395.1
GCF_002228485.1_prophage_1,8,GCF_002228485.1
GCF_002228625.1_prophage_1,16,GCF_002228625.1
GCF_002228865.1_prophage_3,9,GCF_002228865.1
GCF_002228955.1_prophage_3,6,GCF_002228955.1
GCF_002228955.1_prophage_6,13,GCF_002228955.1
GCF_002229085.1_prophage_3,20,GCF_002229085.1
GCF_002229155.1_prophage_4,12,GCF_002229155.1
GCF_002229215.1_prophage_4,20,GCF_002229215.1
GCF_002229235.1_prophage_1,14,GCF_002229235.1
GCF_002229375.1_prophage_5,2,GCF_002229375.1
GCF_002229465.1_prophage_1,20,GCF_002229465.1
GCF_002230065.1_prophage_8,13,GCF_002230065.1
GCF_002230095.1_prophage_3,20,GCF_002230095.1
GCF_002230295.1_prophage_1,15,GCF_002230295.1
GCF_002230405.1_prophage_3,2,GCF_002230405.1
GCF_002230465.1_prophage_2,17,GCF_002230465.1
GCF_002230535.1_prophage_3,14,GCF_002230535.1
GCF_002230635.1_prophage_8,16,GCF_002230635.1
GCF_002230915.1_prophage_7,13,GCF_002230915.1
GCF_002230995.1_prophage_5,15,GCF_002230995.1
GCF_002231015.1_prophage_4,7,GCF_002231015.1
GCF_002231025.1_prophage_6,3,GCF_002231025.1
GCF_002231075.1_prophage_4,4,GCF_002231075.1
GCF_002231255.1_prophage_1,20,GCF_002231255.1
GCF_002231365.1_prophage_5,2,GCF_002231365.1
GCF_002231555.1_prophage_3,13,GCF_002231555.1
GCF_002231645.1_prophage_5,14,GCF_002231645.1
GCF_002231885.1_prophage_1,11,GCF_002231885.1
GCF_002232095.1_prophage_6,14,GCF_002232095.1
GCF_002232175.1_prophage_1,1,GCF_002232175.1
GCF_002232355.1_prophage_1,20,GCF_002232355.1
GCF_002232435.1_prophage_3,14,GCF_002232435.1
GCF_002232435.1_prophage_5,8,GCF_002232435.1
GCF_002232555.1_prophage_3,20,GCF_002232555.1
GCF_002232565.1_prophage_2,12,GCF_002232565.1
GCF_002232655.1_prophage_1,4,GCF_002232655.1
GCF_002232675.1_prophage_8,20,GCF_002232675.1
GCF_002232895.1_prophage_2,1,GCF_002232895.1
GCF_002232935.1_prophage_1,16,GCF_002232935.1
GCF_002232975.1_prophage_3,12,GCF_002232975.1
GCF_002233075.1_prophage_1,15,GCF_002233075.1
GCF_002233105.1_prophage_3,14,GCF_002233105.1
GCF_002233295.1_prophage_4,17,GCF_002233295.1
GCF_002233375.1_prophage_1,2,GCF_002233375.1
GCF_002239795.1_prophage_1,19,GCF_002239795.1
GCF_002240945.1_prophage_1,11,GCF_002240945.1
GCF_002240945.1_prophage_4,8,GCF_002240945.1
GCF_002243735.1_prophage_1,1,GCF_002243735.1
GCF_002244045.1_prophage_1,1,GCF_002244045.1
GCF_002244165.1_prophage_1,8,GCF_002244165.1
GCF_002244205.1_prophage_2,11,GCF_002244205.1
GCF_002244235.1_prophage_2,20,GCF_002244235.1
GCF_002244355.1_prophage_3,1,GCF_002244355.1
GCF_002244745.1_prophage_1,8,GCF_002244745.1
GCF_002244885.1_prophage_1,20,GCF_002244885.1
GCF_002244885.1_prophage_2,20,GCF_002244885.1
GCF_002246495.2_prophage_1,20,GCF_002246495.2
GCF_002246515.1_prophage_1,20,GCF_002246515.1
GCF_002247945.1_prophage_2,20,GCF_002247945.1
GCF_002247965.2_prophage_6,2,GCF_002247965.2
GCF_002248225.1_prophage_3,10,GCF_002248225.1
GCF_002248905.1_prophage_6,8,GCF_002248905.1
GCF_002249645.1_prophage_1,20,GCF_002249645.1
GCF_002263705.1_prophage_5,13,GCF_002263705.1
GCF_002263825.1_prophage_5,14,GCF_002263825.1
GCF_002263955.1_prophage_2,13,GCF_002263955.1
GCF_002263975.1_prophage_2,20,GCF_002263975.1
GCF_002265155.1_prophage_3,7,GCF_002265155.1
GCF_002270165.1_prophage_4,1,GCF_002270165.1
GCF_002270245.1_prophage_3,13,GCF_002270245.1
GCF_002277105.1_prophage_1,11,GCF_002277105.1
GCF_002283335.1_prophage_1,10,GCF_002283335.1
GCF_002283415.1_prophage_1,10,GCF_002283415.1
GCF_002284685.1_prophage_8,13,GCF_002284685.1
GCF_002284745.1_prophage_2,3,GCF_002284745.1
GCF_002284745.1_prophage_5,11,GCF_002284745.1
GCF_002285755.1_prophage_5,12,GCF_002285755.1
GCF_002286455.1_prophage_5,15,GCF_002286455.1
GCF_002286525.1_prophage_5,4,GCF_002286525.1
GCF_002286535.1_prophage_2,15,GCF_002286535.1
GCF_002290415.1_prophage_1,3,GCF_002290415.1
GCF_002290945.1_prophage_1,8,GCF_002290945.1
GCF_002291105.1_prophage_5,11,GCF_002291105.1
GCF_002291105.1_prophage_6,10,GCF_002291105.1
GCF_002302315.1_prophage_6,14,GCF_002302315.1
GCF_002310735.1_prophage_4,20,GCF_002310735.1
GCF_002317645.1_prophage_2,11,GCF_002317645.1
GCF_002317775.1_prophage_4,3,GCF_002317775.1
GCF_002317955.1_prophage_1,15,GCF_002317955.1
GCF_002319335.1_prophage_8,2,GCF_002319335.1
GCF_002319385.1_prophage_2,10,GCF_002319385.1
GCF_002319475.1_prophage_4,20,GCF_002319475.1
GCF_002319485.1_prophage_4,8,GCF_002319485.1
GCF_002319565.1_prophage_1,9,GCF_002319565.1
GCF_002319615.1_prophage_3,1,GCF_002319615.1
GCF_002319625.1_prophage_3,11,GCF_002319625.1
GCF_002319645.1_prophage_2,11,GCF_002319645.1
GCF_002319735.1_prophage_4,2,GCF_002319735.1
GCF_002324105.1_prophage_1,15,GCF_002324105.1
GCF_002324155.1_prophage_1,17,GCF_002324155.1
GCF_002324435.1_prophage_4,20,GCF_002324435.1
GCF_002324535.1_prophage_6,15,GCF_002324535.1
GCF_002324595.1_prophage_1,10,GCF_002324595.1
GCF_002324625.1_prophage_1,12,GCF_002324625.1
GCF_002324695.1_prophage_2,1,GCF_002324695.1
GCF_002326995.1_prophage_3,15,GCF_002326995.1
GCF_002379215.1_prophage_5,20,GCF_002379215.1
GCF_002379295.1_prophage_1,6,GCF_002379295.1
GCF_002379295.1_prophage_3,20,GCF_002379295.1
GCF_002379295.1_prophage_5,20,GCF_002379295.1
GCF_002393365.1_prophage_5,12,GCF_002393365.1
GCF_002407385.1_prophage_4,1,GCF_002407385.1
GCF_002416785.1_prophage_4,18,GCF_002416785.1
GCF_002441995.1_prophage_2,1,GCF_002441995.1
GCF_002442165.1_prophage_3,20,GCF_002442165.1
GCF_002442245.1_prophage_1,13,GCF_002442245.1
GCF_002442245.1_prophage_3,1,GCF_002442245.1
GCF_002442325.1_prophage_5,3,GCF_002442325.1
GCF_002442365.1_prophage_1,1,GCF_002442365.1
GCF_002442395.1_prophage_5,10,GCF_002442395.1
GCF_002456195.1_prophage_2,14,GCF_002456195.1
GCF_002456235.1_prophage_4,12,GCF_002456235.1
GCF_002456425.1_prophage_1,1,GCF_002456425.1
GCF_002456425.1_prophage_4,13,GCF_002456425.1
GCF_002456555.1_prophage_3,2,GCF_002456555.1
GCF_002456625.1_prophage_1,3,GCF_002456625.1
GCF_002456625.1_prophage_3,8,GCF_002456625.1
GCF_002456695.1_prophage_1,19,GCF_002456695.1
GCF_002456785.1_prophage_1,12,GCF_002456785.1
GCF_002456895.1_prophage_5,3,GCF_002456895.1
GCF_002457965.1_prophage_1,4,GCF_002457965.1
GCF_002458245.1_prophage_3,15,GCF_002458245.1
GCF_002458395.1_prophage_3,13,GCF_002458395.1
GCF_002458455.1_prophage_8,20,GCF_002458455.1
GCF_002458555.1_prophage_2,1,GCF_002458555.1
GCF_002458705.1_prophage_3,16,GCF_002458705.1
GCF_002458705.1_prophage_4,9,GCF_002458705.1
GCF_002458715.1_prophage_1,12,GCF_002458715.1
GCF_002458785.1_prophage_1,4,GCF_002458785.1
GCF_002458855.1_prophage_5,13,GCF_002458855.1
GCF_002459005.1_prophage_1,4,GCF_002459005.1
GCF_002459045.1_prophage_3,1,GCF_002459045.1
GCF_002459195.1_prophage_2,10,GCF_002459195.1
GCF_002459195.1_prophage_7,15,GCF_002459195.1
GCF_002459225.1_prophage_1,4,GCF_002459225.1
GCF_002459345.1_prophage_2,12,GCF_002459345.1
GCF_002459525.1_prophage_5,3,GCF_002459525.1
GCF_002459545.1_prophage_5,6,GCF_002459545.1
GCF_002459875.1_prophage_5,15,GCF_002459875.1
GCF_002459915.1_prophage_6,12,GCF_002459915.1
GCF_002459925.1_prophage_6,3,GCF_002459925.1
GCF_002460155.1_prophage_2,6,GCF_002460155.1
GCF_002460165.1_prophage_2,12,GCF_002460165.1
GCF_002460245.1_prophage_4,9,GCF_002460245.1
GCF_002460315.1_prophage_2,17,GCF_002460315.1
GCF_002460345.1_prophage_5,12,GCF_002460345.1
GCF_002460535.1_prophage_2,7,GCF_002460535.1
GCF_002460645.1_prophage_1,3,GCF_002460645.1
GCF_002460795.1_prophage_3,15,GCF_002460795.1
GCF_002460805.1_prophage_3,13,GCF_002460805.1
GCF_002460805.1_prophage_6,6,GCF_002460805.1
GCF_002460865.1_prophage_7,16,GCF_002460865.1
GCF_002460875.1_prophage_1,13,GCF_002460875.1
GCF_002460955.1_prophage_4,15,GCF_002460955.1
GCF_002461305.1_prophage_2,6,GCF_002461305.1
GCF_002461545.1_prophage_3,15,GCF_002461545.1
GCF_002461885.1_prophage_2,11,GCF_002461885.1
GCF_002462115.1_prophage_5,17,GCF_002462115.1
GCF_002462195.1_prophage_1,16,GCF_002462195.1
GCF_002462735.1_prophage_4,15,GCF_002462735.1
GCF_002462865.1_prophage_3,1,GCF_002462865.1
GCF_002462935.1_prophage_6,13,GCF_002462935.1
GCF_002462995.1_prophage_3,3,GCF_002462995.1
GCF_002462995.1_prophage_5,6,GCF_002462995.1
GCF_002463085.1_prophage_2,13,GCF_002463085.1
GCF_002463135.1_prophage_2,20,GCF_002463135.1
GCF_002463285.1_prophage_5,7,GCF_002463285.1
GCF_002463495.1_prophage_5,4,GCF_002463495.1
GCF_002463525.1_prophage_3,2,GCF_002463525.1
GCF_002463555.1_prophage_3,19,GCF_002463555.1
GCF_002463705.1_prophage_2,10,GCF_002463705.1
GCF_002463805.1_prophage_1,3,GCF_002463805.1
GCF_002463835.1_prophage_1,13,GCF_002463835.1
GCF_002463835.1_prophage_7,20,GCF_002463835.1
GCF_002463845.1_prophage_4,15,GCF_002463845.1
GCF_002463925.1_prophage_1,8,GCF_002463925.1
GCF_002463955.1_prophage_5,8,GCF_002463955.1
GCF_002464115.1_prophage_3,4,GCF_002464115.1
GCF_002464275.1_prophage_1,8,GCF_002464275.1
GCF_002464445.1_prophage_3,1,GCF_002464445.1
GCF_002465055.1_prophage_1,2,GCF_002465055.1
GCF_002465215.1_prophage_3,10,GCF_002465215.1
GCF_002465355.1_prophage_1,15,GCF_002465355.1
GCF_002465395.1_prophage_2,3,GCF_002465395.1
GCF_002465575.1_prophage_2,20,GCF_002465575.1
GCF_002465575.1_prophage_4,13,GCF_002465575.1
GCF_002465635.1_prophage_1,1,GCF_002465635.1
GCF_002465905.1_prophage_1,3,GCF_002465905.1
GCF_002465975.1_prophage_4,8,GCF_002465975.1
GCF_002466205.1_prophage_1,14,GCF_002466205.1
GCF_002466235.1_prophage_4,15,GCF_002466235.1
GCF_002466355.1_prophage_3,5,GCF_002466355.1
GCF_002466425.1_prophage_4,3,GCF_002466425.1
GCF_002466465.1_prophage_2,4,GCF_002466465.1
GCF_002466935.1_prophage_5,12,GCF_002466935.1
GCF_002467185.1_prophage_1,9,GCF_002467185.1
GCF_002467325.1_prophage_5,14,GCF_002467325.1
GCF_002467405.1_prophage_1,20,GCF_002467405.1
GCF_002467555.1_prophage_3,14,GCF_002467555.1
GCF_002467625.1_prophage_5,10,GCF_002467625.1
GCF_002467635.1_prophage_1,20,GCF_002467635.1
GCF_002467925.1_prophage_3,7,GCF_002467925.1
GCF_002468245.1_prophage_3,15,GCF_002468245.1
GCF_002468335.1_prophage_2,20,GCF_002468335.1
GCF_002468345.1_prophage_2,1,GCF_002468345.1
GCF_002468425.1_prophage_4,13,GCF_002468425.1
GCF_002468435.1_prophage_1,10,GCF_002468435.1
GCF_002468495.1_prophage_1,17,GCF_002468495.1
GCF_002468495.1_prophage_4,14,GCF_002468495.1
GCF_002468655.1_prophage_1,3,GCF_002468655.1
GCF_002468725.1_prophage_3,8,GCF_002468725.1
GCF_002468805.1_prophage_5,16,GCF_002468805.1
GCF_002468915.1_prophage_1,10,GCF_002468915.1
GCF_002469165.1_prophage_3,3,GCF_002469165.1
GCF_002469215.1_prophage_1,14,GCF_002469215.1
GCF_002469235.1_prophage_2,1,GCF_002469235.1
GCF_002473565.1_prophage_2,12,GCF_002473565.1
GCF_002474025.1_prophage_4,20,GCF_002474025.1
GCF_002474085.1_prophage_4,16,GCF_002474085.1
GCF_002474185.1_prophage_3,4,GCF_002474185.1
GCF_002474445.1_prophage_1,13,GCF_002474445.1
GCF_002474535.1_prophage_6,14,GCF_002474535.1
GCF_002474645.1_prophage_1,12,GCF_002474645.1
GCF_002474715.1_prophage_3,9,GCF_002474715.1
GCF_002474785.1_prophage_1,15,GCF_002474785.1
GCF_002474835.1_prophage_1,15,GCF_002474835.1
GCF_002474915.1_prophage_2,17,GCF_002474915.1
GCF_002475215.1_prophage_3,13,GCF_002475215.1
GCF_002475235.1_prophage_4,10,GCF_002475235.1
GCF_002475325.1_prophage_3,1,GCF_002475325.1
GCF_002475355.1_prophage_7,12,GCF_002475355.1
GCF_002475375.1_prophage_1,1,GCF_002475375.1
GCF_002475515.1_prophage_3,3,GCF_002475515.1
GCF_002475545.1_prophage_1,3,GCF_002475545.1
GCF_002475545.1_prophage_3,8,GCF_002475545.1
GCF_002475575.1_prophage_2,3,GCF_002475575.1
GCF_002475625.1_prophage_7,17,GCF_002475625.1
GCF_002475625.1_prophage_9,11,GCF_002475625.1
GCF_002476015.1_prophage_4,16,GCF_002476015.1
GCF_002476375.1_prophage_3,7,GCF_002476375.1
GCF_002476395.1_prophage_2,14,GCF_002476395.1
GCF_002484405.1_prophage_3,13,GCF_002484405.1
GCF_002484425.1_prophage_3,5,GCF_002484425.1
GCF_002484515.1_prophage_4,5,GCF_002484515.1
GCF_002484545.1_prophage_2,4,GCF_002484545.1
GCF_002484575.1_prophage_3,2,GCF_002484575.1
GCF_002484655.1_prophage_1,12,GCF_002484655.1
GCF_002484905.1_prophage_4,18,GCF_002484905.1
GCF_002484965.1_prophage_1,15,GCF_002484965.1
GCF_002485025.1_prophage_6,3,GCF_002485025.1
GCF_002485115.1_prophage_2,13,GCF_002485115.1
GCF_002485165.1_prophage_4,5,GCF_002485165.1
GCF_002485545.1_prophage_4,14,GCF_002485545.1
GCF_002485995.1_prophage_1,15,GCF_002485995.1
GCF_002486235.1_prophage_3,12,GCF_002486235.1
GCF_002486265.1_prophage_2,17,GCF_002486265.1
GCF_002486305.1_prophage_10,16,GCF_002486305.1
GCF_002486335.1_prophage_4,3,GCF_002486335.1
GCF_002486575.1_prophage_1,9,GCF_002486575.1
GCF_002486645.1_prophage_2,13,GCF_002486645.1
GCF_002486695.1_prophage_2,9,GCF_002486695.1
GCF_002486915.1_prophage_2,18,GCF_002486915.1
GCF_002507975.1_prophage_1,2,GCF_002507975.1
GCF_002509785.1_prophage_1,13,GCF_002509785.1
GCF_002509845.1_prophage_5,9,GCF_002509845.1
GCF_002509865.1_prophage_2,15,GCF_002509865.1
GCF_002510175.1_prophage_4,3,GCF_002510175.1
GCF_002510355.1_prophage_1,3,GCF_002510355.1
GCF_002510415.1_prophage_3,13,GCF_002510415.1
GCF_002510415.1_prophage_4,10,GCF_002510415.1
GCF_002510515.1_prophage_4,14,GCF_002510515.1
GCF_002510605.1_prophage_6,5,GCF_002510605.1
GCF_002510645.1_prophage_2,20,GCF_002510645.1
GCF_002510775.1_prophage_2,20,GCF_002510775.1
GCF_002510785.1_prophage_5,16,GCF_002510785.1
GCF_002510815.1_prophage_2,15,GCF_002510815.1
GCF_002511135.1_prophage_3,15,GCF_002511135.1
GCF_002511185.1_prophage_1,9,GCF_002511185.1
GCF_002511265.1_prophage_1,2,GCF_002511265.1
GCF_002511555.1_prophage_6,4,GCF_002511555.1
GCF_002511765.1_prophage_3,13,GCF_002511765.1
GCF_002511765.1_prophage_4,12,GCF_002511765.1
GCF_002511785.1_prophage_1,13,GCF_002511785.1
GCF_002511785.1_prophage_3,10,GCF_002511785.1
GCF_002511845.1_prophage_2,20,GCF_002511845.1
GCF_002511865.1_prophage_2,14,GCF_002511865.1
GCF_002512025.1_prophage_1,10,GCF_002512025.1
GCF_002512125.1_prophage_5,3,GCF_002512125.1
GCF_002512375.1_prophage_2,18,GCF_002512375.1
GCF_002512455.1_prophage_6,20,GCF_002512455.1
GCF_002512485.1_prophage_1,14,GCF_002512485.1
GCF_002512565.1_prophage_3,2,GCF_002512565.1
GCF_002512605.1_prophage_3,10,GCF_002512605.1
GCF_002512685.1_prophage_6,3,GCF_002512685.1
GCF_002512815.1_prophage_3,4,GCF_002512815.1
GCF_002513265.1_prophage_8,3,GCF_002513265.1
GCF_002513305.1_prophage_6,11,GCF_002513305.1
GCF_002513315.1_prophage_10,2,GCF_002513315.1
GCF_002513315.1_prophage_5,17,GCF_002513315.1
GCF_002513415.1_prophage_4,9,GCF_002513415.1
GCF_002513565.1_prophage_1,14,GCF_002513565.1
GCF_002513625.1_prophage_3,3,GCF_002513625.1
GCF_002513845.1_prophage_1,8,GCF_002513845.1
GCF_002514015.1_prophage_1,12,GCF_002514015.1
GCF_002514015.1_prophage_6,2,GCF_002514015.1
GCF_002514425.1_prophage_2,14,GCF_002514425.1
GCF_002514455.1_prophage_2,2,GCF_002514455.1
GCF_002514455.1_prophage_5,13,GCF_002514455.1
GCF_002514795.1_prophage_1,3,GCF_002514795.1
GCF_002514885.1_prophage_3,4,GCF_002514885.1
GCF_002515055.1_prophage_4,12,GCF_002515055.1
GCF_002515065.1_prophage_2,4,GCF_002515065.1
GCF_002515175.1_prophage_1,15,GCF_002515175.1
GCF_002515265.1_prophage_5,1,GCF_002515265.1
GCF_002515685.1_prophage_1,1,GCF_002515685.1
GCF_002515765.1_prophage_6,12,GCF_002515765.1
GCF_002515815.1_prophage_1,13,GCF_002515815.1
GCF_002515965.1_prophage_4,15,GCF_002515965.1
GCF_002516205.1_prophage_3,17,GCF_002516205.1
GCF_002516505.1_prophage_2,3,GCF_002516505.1
GCF_002516555.1_prophage_6,13,GCF_002516555.1
GCF_002516705.1_prophage_1,8,GCF_002516705.1
GCF_002516775.1_prophage_1,13,GCF_002516775.1
GCF_002516825.1_prophage_4,14,GCF_002516825.1
GCF_002516905.1_prophage_1,13,GCF_002516905.1
GCF_002517285.1_prophage_1,3,GCF_002517285.1
GCF_002517325.1_prophage_5,3,GCF_002517325.1
GCF_002517585.1_prophage_3,20,GCF_002517585.1
GCF_002517625.1_prophage_1,10,GCF_002517625.1
GCF_002517635.1_prophage_3,20,GCF_002517635.1
GCF_002517665.1_prophage_1,20,GCF_002517665.1
GCF_002517775.1_prophage_2,10,GCF_002517775.1
GCF_002517965.1_prophage_1,3,GCF_002517965.1
GCF_002518005.1_prophage_2,20,GCF_002518005.1
GCF_002518045.1_prophage_7,13,GCF_002518045.1
GCF_002518135.1_prophage_6,12,GCF_002518135.1
GCF_002518205.1_prophage_1,14,GCF_002518205.1
GCF_002518365.1_prophage_2,8,GCF_002518365.1
GCF_002518375.1_prophage_6,20,GCF_002518375.1
GCF_002518545.1_prophage_5,14,GCF_002518545.1
GCF_002518645.1_prophage_6,2,GCF_002518645.1
GCF_002518735.1_prophage_1,3,GCF_002518735.1
GCF_002518795.1_prophage_2,12,GCF_002518795.1
GCF_002518815.1_prophage_4,10,GCF_002518815.1
GCF_002518935.1_prophage_3,5,GCF_002518935.1
GCF_002519025.1_prophage_3,10,GCF_002519025.1
GCF_002519035.1_prophage_1,13,GCF_002519035.1
GCF_002519035.1_prophage_6,15,GCF_002519035.1
GCF_002519485.1_prophage_7,8,GCF_002519485.1
GCF_002519565.1_prophage_5,17,GCF_002519565.1
GCF_002519565.1_prophage_7,12,GCF_002519565.1
GCF_002519665.1_prophage_1,1,GCF_002519665.1
GCF_002519675.1_prophage_4,17,GCF_002519675.1
GCF_002519705.1_prophage_6,17,GCF_002519705.1
GCF_002519745.1_prophage_1,1,GCF_002519745.1
GCF_002519835.1_prophage_3,14,GCF_002519835.1
GCF_002520045.1_prophage_2,10,GCF_002520045.1
GCF_002520055.1_prophage_1,12,GCF_002520055.1
GCF_002520095.1_prophage_1,15,GCF_002520095.1
GCF_002520095.1_prophage_3,1,GCF_002520095.1
GCF_002520325.1_prophage_2,7,GCF_002520325.1
GCF_002520335.1_prophage_3,10,GCF_002520335.1
GCF_002520405.1_prophage_1,5,GCF_002520405.1
GCF_002520405.1_prophage_2,12,GCF_002520405.1
GCF_002520415.1_prophage_2,10,GCF_002520415.1
GCF_002520605.1_prophage_3,15,GCF_002520605.1
GCF_002520655.1_prophage_5,7,GCF_002520655.1
GCF_002520675.1_prophage_4,11,GCF_002520675.1
GCF_002521165.1_prophage_3,15,GCF_002521165.1
GCF_002521165.1_prophage_5,17,GCF_002521165.1
GCF_002521215.1_prophage_5,17,GCF_002521215.1
GCF_002521285.1_prophage_1,12,GCF_002521285.1
GCF_002521385.1_prophage_3,1,GCF_002521385.1
GCF_002521465.1_prophage_2,12,GCF_002521465.1
GCF_002521465.1_prophage_5,13,GCF_002521465.1
GCF_002521585.1_prophage_2,8,GCF_002521585.1
GCF_002521835.1_prophage_1,8,GCF_002521835.1
GCF_002521835.1_prophage_3,10,GCF_002521835.1
GCF_002521955.1_prophage_3,7,GCF_002521955.1
GCF_002521955.1_prophage_4,1,GCF_002521955.1
GCF_002522055.1_prophage_1,16,GCF_002522055.1
GCF_002522395.1_prophage_4,1,GCF_002522395.1
GCF_002522645.1_prophage_2,12,GCF_002522645.1
GCF_002528825.1_prophage_11,10,GCF_002528825.1
GCF_002530725.1_prophage_1,2,GCF_002530725.1
GCF_002530955.1_prophage_4,20,GCF_002530955.1
GCF_002531125.1_prophage_1,15,GCF_002531125.1
GCF_002531275.1_prophage_2,12,GCF_002531275.1
GCF_002531285.1_prophage_7,13,GCF_002531285.1
GCF_002531355.1_prophage_8,2,GCF_002531355.1
GCF_002534785.1_prophage_2,14,GCF_002534785.1
GCF_002534845.1_prophage_4,8,GCF_002534845.1
GCF_002534905.1_prophage_6,14,GCF_002534905.1
GCF_002535045.1_prophage_3,13,GCF_002535045.1
GCF_002535115.1_prophage_3,7,GCF_002535115.1
GCF_002535115.1_prophage_5,3,GCF_002535115.1
GCF_002535195.1_prophage_4,10,GCF_002535195.1
GCF_002535205.1_prophage_1,13,GCF_002535205.1
GCF_002535215.1_prophage_2,13,GCF_002535215.1
GCF_002535295.1_prophage_5,15,GCF_002535295.1
GCF_002535305.1_prophage_3,9,GCF_002535305.1
GCF_002535475.1_prophage_2,9,GCF_002535475.1
GCF_002535605.1_prophage_7,17,GCF_002535605.1
GCF_002537395.1_prophage_5,12,GCF_002537395.1
GCF_002537555.1_prophage_2,13,GCF_002537555.1
GCF_002537995.1_prophage_5,13,GCF_002537995.1
GCF_002538705.1_prophage_2,1,GCF_002538705.1
GCF_002541105.1_prophage_3,12,GCF_002541105.1
GCF_002541105.1_prophage_4,1,GCF_002541105.1
GCF_002541205.1_prophage_2,4,GCF_002541205.1
GCF_002541235.1_prophage_2,3,GCF_002541235.1
GCF_002541435.1_prophage_3,17,GCF_002541435.1
GCF_002541735.1_prophage_3,1,GCF_002541735.1
GCF_002542115.1_prophage_2,13,GCF_002542115.1
GCF_002542565.1_prophage_2,16,GCF_002542565.1
GCF_002543155.1_prophage_1,12,GCF_002543155.1
GCF_002543505.1_prophage_2,5,GCF_002543505.1
GCF_002543795.1_prophage_1,10,GCF_002543795.1
GCF_002543795.1_prophage_3,15,GCF_002543795.1
GCF_002544665.1_prophage_1,13,GCF_002544665.1
GCF_002544665.1_prophage_4,10,GCF_002544665.1
GCF_002544745.1_prophage_1,13,GCF_002544745.1
GCF_002544825.1_prophage_2,11,GCF_002544825.1
GCF_002545215.1_prophage_3,12,GCF_002545215.1
GCF_002545575.1_prophage_1,12,GCF_002545575.1
GCF_002545925.1_prophage_1,14,GCF_002545925.1
GCF_002546545.1_prophage_4,10,GCF_002546545.1
GCF_002546565.1_prophage_2,12,GCF_002546565.1
GCF_002546975.1_prophage_3,14,GCF_002546975.1
GCF_002547055.1_prophage_3,1,GCF_002547055.1
GCF_002547115.1_prophage_4,2,GCF_002547115.1
GCF_002547165.1_prophage_2,1,GCF_002547165.1
GCF_002547305.1_prophage_1,13,GCF_002547305.1
GCF_002547315.1_prophage_2,1,GCF_002547315.1
GCF_002547825.1_prophage_1,9,GCF_002547825.1
GCF_002548015.1_prophage_5,3,GCF_002548015.1
GCF_002548535.1_prophage_2,3,GCF_002548535.1
GCF_002548675.1_prophage_5,10,GCF_002548675.1
GCF_002548755.1_prophage_1,13,GCF_002548755.1
GCF_002548925.1_prophage_1,6,GCF_002548925.1
GCF_002549415.1_prophage_4,12,GCF_002549415.1
GCF_002554325.1_prophage_1,9,GCF_002554325.1
GCF_002554475.1_prophage_16,9,GCF_002554475.1
GCF_002573115.1_prophage_1,20,GCF_002573115.1
GCF_002573155.1_prophage_4,7,GCF_002573155.1
GCF_002573265.1_prophage_1,18,GCF_002573265.1
GCF_002631395.1_prophage_2,1,GCF_002631395.1
GCF_002631435.1_prophage_4,7,GCF_002631435.1
GCF_002631455.1_prophage_1,13,GCF_002631455.1
GCF_002734545.1_prophage_10,11,GCF_002734545.1
GCF_002734645.1_prophage_5,3,GCF_002734645.1
GCF_002734805.1_prophage_5,7,GCF_002734805.1
GCF_002734825.1_prophage_4,16,GCF_002734825.1
GCF_002734925.1_prophage_3,12,GCF_002734925.1
GCF_002734945.1_prophage_5,2,GCF_002734945.1
